Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5152173571,Rhombus87 (7/20),0,578.5,G Russell Henley G Ben Griffin G Alex Smalley G Eric Cole G Rasmus Neergaard-Petersen G Michael Brennan,,Ludvig Aberg,G,39.80%,72.5
2,5151947514,charlesrayallday (20/20),0,556,G Russell Henley G Pierceson Coody G Gary Woodland G Mac Meissner G Christiaan Bezuidenhout G Eric Cole,,Rickie Fowler,G,23.94%,28
3,5152173577,Rhombus87 (13/20),0,554.5,G Russell Henley G Ben Griffin G Michael Thorbjornsen G Andrew Novak G Eric Cole G Michael Brennan,,Alex Smalley,G,23.14%,98.5
4,5151575681,Stoneamaker (20/20),0,547.5,G Russell Henley G Ben Griffin G Gary Woodland G Christiaan Bezuidenhout G Eric Cole G Zachary Bauchou,,Ryo Hisatsune,G,21.61%,56
4,5151940401,charlesrayallday (6/20),0,547.5,G Russell Henley G Ben Griffin G Mac Meissner G Christiaan Bezuidenhout G Andrew Putnam G Eric Cole,,Justin Thomas,G,21.03%,79
6,5150947572,FantasyGolferKM (13/15),0,546.5,G Russell Henley G J.J. Spaun G Gary Woodland G Ryan Gerard G Matthew McCarty G Nicolas Echavarria,,Russell Henley,G,16.41%,119
6,5151940411,charlesrayallday (7/20),0,546.5,G Russell Henley G Alex Smalley G Mac Meissner G Davis Thompson G Andrew Putnam G Eric Cole,,J.J. Spaun,G,15.43%,92.5
8,5151575678,Stoneamaker (17/20),0,545.5,G Russell Henley G Ben Griffin G Mac Meissner G Christiaan Bezuidenhout G Eric Cole G Zachary Bauchou,,Tony Finau,G,15.42%,27
9,5150683224,hiteofbob (9/20),0,543,G Russell Henley G J.J. Spaun G Mac Meissner G Christiaan Bezuidenhout G Andrew Putnam G Eric Cole,,Sungjae Im,G,14.97%,18.5
10,5151670776,cjmahan (2/5),0,542,G Russell Henley G J.J. Spaun G Gary Woodland G Mac Meissner G Michael Kim G Emiliano Grillo,,Andrew Putnam,G,14.42%,65
11,5150653981,stewie1963 (3/20),0,540.5,G Russell Henley G Ben Griffin G Gary Woodland G Mac Meissner G Max Homa G Emiliano Grillo,,Max Greyserman,G,14.20%,20.5
12,5151878128,blondeflame19 (1/20),0,540,G Ben Griffin G J.J. Spaun G Alex Smalley G Ryan Gerard G Andrew Putnam G Michael Brennan,,Hideki Matsuyama,G,14.06%,71
13,5152199722,Brenden5258 (5/20),0,538.5,G Justin Thomas G Ben Griffin G Gary Woodland G Ryan Gerard G Michael Kim G Eric Cole,,Christiaan Bezuidenhout,G,13.90%,65
13,5152208115,melvincali (11/20),0,538.5,G Justin Thomas G Ben Griffin G Gary Woodland G Ryan Gerard G Michael Kim G Eric Cole,,Mac Meissner,G,13.58%,97
13,5152315454,kkdillard,0,538.5,G Russell Henley G Alex Smalley G Gary Woodland G Sahith Theegala G Eric Cole G Tom Hoge,,Ben Griffin,G,13.11%,97
16,5151947487,charlesrayallday (18/20),0,535.5,G Russell Henley G J.J. Spaun G Mac Meissner G Christiaan Bezuidenhout G Andrew Novak G Eric Cole,,Sahith Theegala,G,12.20%,57
17,5151413790,zhastie (2/2),0,534.5,G Russell Henley G Alex Smalley G Mac Meissner G Ryan Gerard G J.T. Poston G Michael Kim,,Keith Mitchell,G,11.91%,28.5
18,5151732047,Elwaysarmy (9/20),0,534,G Russell Henley G J.J. Spaun G Gary Woodland G Ryan Gerard G Sudarshan Yellamaraju G Michael Brennan,,Akshay Bhatia,G,11.84%,67
18,5151908988,raiderron93306 (2/20),0,534,G Russell Henley G Alex Smalley G Gary Woodland G Mac Meissner G Christiaan Bezuidenhout G Luke Clanton,,Pierceson Coody,G,11.77%,71.5
20,5150653990,stewie1963 (12/20),0,533.5,G Ben Griffin G Alex Smalley G Gary Woodland G Mac Meissner G Brian Harman G Austin Eckroat,,Sudarshan Yellamaraju,G,11.72%,36.5
21,5150988986,baahstonbotfly (2/15),0,533,G Ludvig Aberg G Russell Henley G Michael Thorbjornsen G Eric Cole G Michael Brennan G Tom Hoge,,Matthew McCarty,G,11.35%,57.5
22,5151752673,steve3258 (11/20),0,531.5,G Russell Henley G Ben Griffin G Alex Smalley G John Keefer G Steven Fisk G Emiliano Grillo,,Tom Kim,G,10.85%,56
23,5151843571,FortGarryLions (7/20),0,531,G Russell Henley G Akshay Bhatia G Gary Woodland G Mac Meissner G Brian Harman G Brandt Snedeker,,Brian Harman,G,10.78%,72.5
24,5150803857,SillyRabbit17 (6/20),0,530,G Russell Henley G Alex Smalley G Mac Meissner G Ryan Gerard G Christiaan Bezuidenhout G Andrew Putnam,,Ryan Gerard,G,10.71%,85.5
24,5151640980,aquafinatim (4/20),0,530,G Russell Henley G Alex Smalley G Gary Woodland G Rico Hoey G Andrew Putnam G Doug Ghim,,Gary Woodland,G,10.44%,99
26,5151397671,pat_the_hat2 (3/20),0,529.5,G Russell Henley G Ben Griffin G Gary Woodland G Rasmus Hojgaard G Rico Hoey G Michael Brennan,,Stephan Jaeger,G,10.42%,9
27,5151636780,stebo7386 (6/20),0,528.5,G Russell Henley G Ben Griffin G Michael Thorbjornsen G Davis Thompson G Michael Kim G Michael Brennan,,Robert MacIntyre,G,10.30%,57.5
27,5151748653,Dubbzz (12/20),0,528.5,G Russell Henley G Alex Smalley G Akshay Bhatia G Thorbjorn Olesen G Jordan L. Smith G Michael Brennan,,Harry Hall,G,10.03%,23.5
29,5151774650,craigger34 (7/8),0,527.5,G Ludvig Aberg G J.J. Spaun G Gary Woodland G Rico Hoey G Jordan L. Smith G Michael Brennan,,Andrew Novak,G,9.64%,57.5
30,5152280107,CubsFn4Lyfe (2/2),0,527,G Russell Henley G Alex Smalley G Mac Meissner G Ryan Gerard G Sam Stevens G Andrew Putnam,,Sam Stevens,G,8.80%,62
31,5150301501,louba5 (18/20),0,526.5,G Russell Henley G Ben Griffin G Gary Woodland G Matthew McCarty G Andrew Putnam G Steven Fisk,,Zachary Bauchou,G,8.56%,63
31,5150609781,jrevelle3 (14/20),0,526.5,G Russell Henley G Ben Griffin G J.J. Spaun G Michael Kim G Steven Fisk G Luke Clanton,,Eric Cole,G,7.59%,104.5
31,5151930628,raiderron93306 (6/20),0,526.5,G Russell Henley G Alex Smalley G Ryo Hisatsune G Ryan Gerard G Eric Cole G Zachary Bauchou,,Tom Hoge,G,7.02%,60.5
