Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5179112841,ticemn5,0,638.5,G Chris Gotterup G Ben Griffin G Max Homa G Jackson Suber G Stephan Jaeger G Tom Hoge,,Tom Kim,G,34.74%,73
2,5179358548,jensedaf,0,635,G Chris Gotterup G Matt Wallace G Ryo Hisatsune G Christiaan Bezuidenhout G Blades Brown G Jackson Suber,,Blades Brown,G,33.52%,96
2,5180061993,rickcube,0,635,G Chris Gotterup G Matt Wallace G Ryo Hisatsune G Christiaan Bezuidenhout G Blades Brown G Jackson Suber,,Ben Griffin,G,28.09%,97.5
4,5179096446,dkam,0,634,G Chris Gotterup G Tom Kim G Doug Ghim G Jackson Suber G Emiliano Grillo G Ben Kohles,,Ryo Hisatsune,G,23.76%,108
5,5179330847,rickroyer24,0,631,G Chris Gotterup G Doug Ghim G Ryo Hisatsune G Christiaan Bezuidenhout G Blades Brown G Andrew Putnam,,Eric Cole,G,22.67%,93
6,5178207445,Gizmo8148,0,630.5,G Chris Gotterup G Ben Griffin G Max Homa G Ben Kohles G A.J. Ewart G Zach Johnson,,Jackson Koivun,G,22.33%,30
7,5179447294,rp1381,0,627,G Chris Gotterup G Tom Kim G Davis Thompson G Blades Brown G Jackson Suber G Ben Kohles,,Jackson Suber,G,20.90%,110
8,5178247890,delbertmcfly,0,626.5,G Chris Gotterup G Eric Cole G Ryo Hisatsune G Jackson Suber G Kevin Yu G William Mouw,,Jacob Bridgeman,G,19.09%,81
9,5178340647,Jmsutter5,0,625,G Ben Griffin G Eric Cole G Ryo Hisatsune G Jackson Suber G Kevin Yu G Ben Kohles,,Chris Gotterup,G,19.01%,137
10,5179554386,jarradkern,0,623.5,G Chris Gotterup G Keith Mitchell G Ryo Hisatsune G Blades Brown G Max Homa G Troy Merritt,,Denny McCarthy,G,18.71%,32
11,5178435135,GSHStaleys,0,621.5,G Chris Gotterup G Sungjae Im G Ryo Hisatsune G Christiaan Bezuidenhout G Blades Brown G Jackson Suber,,Keith Mitchell,G,16.69%,79
12,5179368420,wiggy0302,0,620,G Chris Gotterup G Ben Griffin G Emiliano Grillo G Kevin Yu G Ben Kohles G Tom Hoge,,Emiliano Grillo,G,15.10%,83.5
12,5180160051,maf154,0,620,G Ben Griffin G Eric Cole G Doug Ghim G Christiaan Bezuidenhout G Lee Hodges G Zach Johnson,,J.T. Poston,G,15.01%,78
14,5179518227,smokers,0,618.5,G Chris Gotterup G Tom Kim G Doug Ghim G Jackson Suber G Ben Kohles G Zachary Bauchou,,Sudarshan Yellamaraju,G,14.89%,33
15,5178834781,jimmypoot,0,617.5,G Chris Gotterup G Eric Cole G Davis Thompson G Blades Brown G Jackson Suber G Stephan Jaeger,,Jordan Spieth,G,12.83%,77
16,5180025179,EAG0812,0,616.5,G Chris Gotterup G Eric Cole G Ryo Hisatsune G Tony Finau G Jackson Suber G Stephan Jaeger,,Michael Kim,G,12.07%,24
17,5178240144,louba5,0,615,G Chris Gotterup G Ben Griffin G Ben Kohles G William Mouw G Andrew Putnam G Zac Blair,,Sungjae Im,G,11.86%,69.5
18,5178521504,Duster20,0,612,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Blades Brown G Tony Finau G Max Homa,,Christiaan Bezuidenhout,G,11.73%,101
18,5179767694,jwking89,0,612,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Blades Brown G Tony Finau G Max Homa,,Max Homa,G,10.89%,119
18,5179928119,Bo_Dacious,0,612,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Blades Brown G Tony Finau G Max Homa,,Aldrich Potgieter,G,10.72%,37.5
21,5179923154,ctigers76,0,609.5,G Chris Gotterup G Jacob Bridgeman G Tony Finau G Jackson Suber G Emiliano Grillo G Ben Kohles,,Rickie Fowler,G,10.43%,87
22,5180104085,mikes6578,0,609,G Chris Gotterup G Ben Griffin G Max Homa G Jackson Suber G Austin Eckroat G Erik Van Rooyen,,Daniel Berger,G,10.18%,33
23,5178946930,doctor911,0,608.5,G Chris Gotterup G Ben Griffin G Ryo Hisatsune G Blades Brown G Tom Hoge G Troy Merritt,,Doug Ghim,G,9.97%,111.5
24,5179206376,mcJoJo1313,0,604.5,G Chris Gotterup G Rickie Fowler G Ryo Hisatsune G Tony Finau G Jackson Suber G Emiliano Grillo,,Carson Young,G,9.84%,32.5
25,5179498371,gograndy,0,602,G Chris Gotterup G Jacob Bridgeman G Ryo Hisatsune G Blades Brown G Andrew Putnam G Zach Johnson,,Ben Kohles,G,9.46%,119
26,5178969976,JGaume9,0,601.5,G Keegan Bradley G J.T. Poston G Doug Ghim G Blades Brown G Max Homa G Jackson Suber,,Tony Finau,G,9.46%,79
27,5179373752,trt242424,0,600.5,G Chris Gotterup G Jordan Spieth G Rickie Fowler G Blades Brown G Max Homa G Troy Merritt,,Pierceson Coody,G,9.21%,78.5
28,5178384370,Dchampney1956,0,600,G Chris Gotterup G Doug Ghim G Ryo Hisatsune G Blades Brown G Aldrich Potgieter G Jackson Suber,,Andrew Novak,G,8.96%,26.5
29,5178267937,andnov,0,599,G Ben Griffin G Eric Cole G Blades Brown G Jackson Suber G Emiliano Grillo G Ben Kohles,,Michael Thorbjornsen,G,8.37%,34
29,5178405993,southernbred1,0,599,G Chris Gotterup G Ben Griffin G Jackson Suber G Andrew Putnam G Austin Smotherman G Zac Blair,,Keegan Bradley,G,7.15%,87
29,5180163715,domin8ters,0,599,G Ben Griffin G Eric Cole G Blades Brown G Jackson Suber G Emiliano Grillo G Ben Kohles,,Davis Thompson,G,6.90%,92
32,5180042274,Biohazard,0,598,G Ben Griffin G Eric Cole G Ryo Hisatsune G Christiaan Bezuidenhout G Blades Brown G Zach Johnson,,John Keefer,G,6.77%,36.5
33,5180203066,isaacatsea,0,596.5,G Chris Gotterup G Pierceson Coody G Mac Meissner G Christiaan Bezuidenhout G Blades Brown G Andrew Putnam,,Mac Meissner,G,6.39%,106.5
34,5178319124,briskichris,0,593.5,G Chris Gotterup G Ben Griffin G Blades Brown G Ben Kohles G Zachary Bauchou G David Skinns,,Andrew Putnam,G,5.89%,77.5
34,5179973848,Orochi,0,593.5,G Chris Gotterup G Eric Cole G Ryo Hisatsune G Jackson Suber G Andrew Novak G Ben Kohles,,Rico Hoey,G,5.59%,34.5
36,5179092718,zanaze,0,593,G Ben Griffin G Doug Ghim G Michael Brennan G Christiaan Bezuidenhout G Blades Brown G Zach Johnson,,Austin Eckroat,G,5.21%,67.5
37,5179631507,BenByers,0,592,G Chris Gotterup G Tom Kim G Doug Ghim G Blades Brown G Ben Kohles G A.J. Ewart,,A.J. Ewart,G,5.00%,55.5
38,5178612656,kmhollandsucks,0,591.5,G Chris Gotterup G Tom Kim G Matt Wallace G Blades Brown G Emiliano Grillo G Ben Kohles,,Max Greyserman,G,4.92%,34.5
39,5179908530,birdiebones,0,589.5,G Jordan Spieth G Rickie Fowler G Doug Ghim G Ryo Hisatsune G Blades Brown G Jackson Suber,,Kevin Yu,G,4.46%,97.5
40,5180211525,meloman1523,0,589,G Chris Gotterup G Eric Cole G Mac Meissner G Blades Brown G Tony Finau G Andrew Putnam,,Matt Wallace,G,4.46%,83
41,5178476472,sboyle227,0,588.5,G Ben Griffin G Rickie Fowler G Christiaan Bezuidenhout G Jackson Suber G Ben Kohles G Austin Smotherman,,Tom Hoge,G,4.33%,85.5
41,5180166167,dmarcell9,0,588.5,G Chris Gotterup G Ben Griffin G Denny McCarthy G Max Homa G Lucas Glover G Troy Merritt,,Taylor Moore,G,4.29%,31
43,5180207834,paynis18,0,588,G J.T. Poston G Doug Ghim G Matt Wallace G Ryo Hisatsune G Mac Meissner G Christiaan Bezuidenhout,,Michael Brennan,G,4.21%,84.5
44,5180073494,jimcon2,0,587.5,G Chris Gotterup G Jordan Spieth G Christiaan Bezuidenhout G Tony Finau G Jackson Suber G Emiliano Grillo,,Zachary Bauchou,G,3.83%,68
45,5179621607,jspell87,0,587,G Chris Gotterup G J.T. Poston G Davis Thompson G Emiliano Grillo G Ben Kohles G Andrew Putnam,,Patrick Rodgers,G,3.57%,0
46,5178373711,Handshannah,0,586.5,G Eric Cole G Doug Ghim G Mac Meissner G Tony Finau G Ben Kohles G Andrew Putnam,,Taylor Pendrith,G,3.36%,33.5
46,5179272903,sethug,0,586.5,G Ben Griffin G Keith Mitchell G Max Homa G Jackson Suber G Emiliano Grillo G Kevin Yu,,Zach Johnson,G,3.20%,102.5
48,5179554453,Smokering363,0,586,G Keith Mitchell G Rickie Fowler G Matt Wallace G Ryo Hisatsune G Jackson Suber G Ben Kohles,,Zac Blair,G,2.86%,103
49,5178853037,Mattchoo13,0,585,G Eric Cole G Pierceson Coody G Tom Kim G Doug Ghim G Jackson Suber G Ben Kohles,,Stephan Jaeger,G,2.65%,89.5
50,5179340523,ziggitywood,0,584.5,G Keith Mitchell G Eric Cole G Doug Ghim G Blades Brown G Jackson Suber G Matt Kuchar,,Max McGreevy,G,2.57%,83
51,5179739032,davidarussellii,0,584,G J.T. Poston G Rickie Fowler G Doug Ghim G Sungjae Im G Max Homa G Ben Kohles,,Lucas Glover,G,2.06%,118.5
52,5178627752,TatumRose,0,583.5,G Ben Griffin G Eric Cole G Mac Meissner G Christiaan Bezuidenhout G Blades Brown G Stephan Jaeger,,Luke Clanton,G,1.89%,34
52,5179762046,timothy.beechler,0,583.5,G Chris Gotterup G Jackson Koivun G Mac Meissner G Max Homa G Jackson Suber G William Mouw,,Austin Smotherman,G,1.85%,74
54,5179232931,WHITGAR,0,583,G Chris Gotterup G Keith Mitchell G Jordan Spieth G Zac Blair G Zach Johnson G Troy Merritt,,Hao-Tong Li,G,1.72%,29.5
54,5179846327,Acashk,0,583,G Chris Gotterup G Tom Kim G Doug Ghim G Jackson Suber G Ben Kohles G Carson Young,,Brian Campbell,G,1.60%,25.5
54,5180034946,Mouse4,0,583,G Chris Gotterup G Rickie Fowler G Ryo Hisatsune G Rico Hoey G Max Homa G Kevin Yu,,Chan Kim,G,1.51%,69.5
57,5178255561,Mousedef,0,582.5,G J.T. Poston G Rickie Fowler G Doug Ghim G Ryo Hisatsune G Tony Finau G Max Homa,,Seamus Power,G,1.39%,7.5
58,5179574445,dcprior2000,0,582,G Chris Gotterup G Keith Mitchell G Blades Brown G Emiliano Grillo G Zachary Bauchou G Lucas Glover,,Mark Hubbard,G,1.35%,74
58,5179730669,jonchill,0,582,G Ben Griffin G Eric Cole G Ryo Hisatsune G Blades Brown G Jackson Suber G Andrew Putnam,,William Mouw,G,1.35%,81
60,5178395590,RyanCox421,0,581.5,G Ben Griffin G Eric Cole G Ryo Hisatsune G Blades Brown G Jackson Suber G Beau Hossler,,Erik Van Rooyen,G,1.22%,78
61,5179415177,childplzz,0,580,G Chris Gotterup G Eric Cole G Denny McCarthy G Blades Brown G Max Homa G Zac Blair,,Matt Kuchar,G,0.97%,95
62,5179153094,Plug3154,0,579.5,G Jacob Bridgeman G Rickie Fowler G Ryo Hisatsune G Mac Meissner G Christiaan Bezuidenhout G Blades Brown,,David Lipsky,G,0.97%,88.5
63,5179015416,thebodyspill,0,579,G Ben Griffin G Matt Wallace G Ryo Hisatsune G Mac Meissner G Christiaan Bezuidenhout G Max McGreevy,,Troy Merritt,G,0.93%,84.5
63,5179595196,ruhockey,0,579,G Ben Griffin G Tom Kim G Blades Brown G Max Homa G Jackson Suber G Emiliano Grillo,,Beau Hossler,G,0.93%,77
65,5179303193,teeling1990,0,578.5,G Ben Griffin G Jordan Spieth G Blades Brown G Tony Finau G Max Homa G Jackson Suber,,David Skinns,G,0.88%,76
65,5179814378,BEARATTACK,0,578.5,G Ben Griffin G Tom Kim G Ryo Hisatsune G Christiaan Bezuidenhout G Blades Brown G Zac Blair,,Adrien Dumont De Chassart,G,0.84%,75
67,5178515638,bledsoe417,0,578,G Chris Gotterup G Ben Griffin G Max Homa G Jackson Suber G Beau Hossler G Jimmy Stanger,,Seung-Yul Noh,G,0.71%,18.5
67,5178785659,docslugs,0,578,G Chris Gotterup G Sungjae Im G Ryo Hisatsune G Max Greyserman G Max Homa G Jackson Suber,,Jimmy Stanger,G,0.67%,37.5
69,5179736250,DoingTheBullDance,0,577.5,G Chris Gotterup G Keith Mitchell G Tom Kim G Lee Hodges G Tom Hoge G David Lipsky,,Adam Hadwin,G,0.63%,24
70,5179602505,Treybird,0,577,G Ben Griffin G Tom Kim G Doug Ghim G Blades Brown G Max Homa G Keita Nakajima,,Kevin Roy,G,0.59%,28.5
71,5178273998,ocs4545,0,576.5,G Chris Gotterup G Pierceson Coody G Doug Ghim G Blades Brown G Zachary Bauchou G Tom Hoge,,Joel Dahmen,G,0.55%,75
72,5178659106,Penaldhno,0,575,G Keith Mitchell G Eric Cole G Doug Ghim G Blades Brown G Jackson Suber G Tom Hoge,,Patrick Fishburn,G,0.50%,76
72,5179563828,mamaw-ott,0,575,G Keegan Bradley G Jacob Bridgeman G Ryo Hisatsune G Christiaan Bezuidenhout G Tony Finau G Max Homa,,Matthieu Pavon,G,0.50%,27
72,5180089903,hopp_rw,0,575,G Ben Griffin G Eric Cole G Doug Ghim G Jackson Suber G Zachary Bauchou G Matt Kuchar,,Kevin Streelman,G,0.46%,32.5
75,5179158990,R00KIE2023,0,574.5,G Jacob Bridgeman G Eric Cole G Rickie Fowler G Ryo Hisatsune G Zac Blair G Zach Johnson,,Keita Nakajima,G,0.46%,80
76,5179436813,bellaworth,0,574,G Keith Mitchell G Tom Kim G Davis Thompson G Christiaan Bezuidenhout G Jackson Suber G Ben Kohles,,Thorbjorn Olesen,G,0.42%,20.5
76,5179905646,Tinch27,0,574,G Chris Gotterup G Rickie Fowler G Davis Thompson G Mac Meissner G Max Homa G Carson Young,,Garrick Higgo,G,0.42%,27
78,5178824901,tthomes,0,573.5,G Chris Gotterup G Keith Mitchell G Tony Finau G Max Homa G Austin Smotherman G Tom Hoge,,Takumi Kanaya,G,0.42%,30.5
79,5178318384,ryanc5,0,573,G Ben Griffin G Tom Kim G Ryo Hisatsune G Christiaan Bezuidenhout G Jackson Suber G Emiliano Grillo,,Preston Stout,G,0.42%,99.5
79,5180040884,kmiddleton2001,0,573,G Chris Gotterup G Eric Cole G Tom Kim G Max Homa G Beau Hossler G Mark Hubbard,,Jeremy Paul,G,0.38%,19.5
81,5178544821,Gxpress,0,572,G Ben Griffin G Jacob Bridgeman G Eric Cole G Jackson Suber G Zach Johnson G Harry Higgs,,Dylan Frittelli,G,0.38%,32.5
81,5179484784,lesterburnham,0,572,G Chris Gotterup G Ben Griffin G Ben Kohles G Carson Young G Austin Eckroat G Lucas Glover,,Lee Hodges,G,0.38%,114.5
81,5179491503,coslercrew69,0,572,G Eric Cole G Rickie Fowler G Tom Kim G Ryo Hisatsune G Christiaan Bezuidenhout G Jackson Suber,,Chandler Phillips,G,0.38%,96.5
84,5178301412,seanhackbarth,0,571.5,G Chris Gotterup G Doug Ghim G Ryo Hisatsune G Mac Meissner G Rico Hoey G Austin Smotherman,,Steven Fisk,G,0.34%,59.5
84,5178920927,jned69,0,571.5,G Chris Gotterup G Ben Griffin G Ryo Hisatsune G Austin Eckroat G Tom Hoge G David Skinns,,Brice Garnett,G,0.34%,26.5
84,5180178154,J-Law87,0,571.5,G Chris Gotterup G Eric Cole G Tom Kim G Blades Brown G Zac Blair G Chan Kim,,Hayden Springer,G,0.34%,86.5
87,5179094879,slickcat,0,571,G Chris Gotterup G Eric Cole G Daniel Berger G Tony Finau G Max Homa G Jackson Suber,,Cameron Champ,G,0.34%,28
88,5178768024,rogos,0,570.5,G Doug Ghim G Sungjae Im G Matt Wallace G Ryo Hisatsune G Davis Thompson G Mac Meissner,,Chandler Blanchet,G,0.34%,23
89,5179962882,PlayboyHermes,0,570,G Ben Griffin G Eric Cole G Mac Meissner G Christiaan Bezuidenhout G Blades Brown G Patrick Fishburn,,Lanto Griffin,G,0.29%,83.5
