Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5179218327,andybonds (9/12),0,665,G Chris Gotterup G Eric Cole G Christiaan Bezuidenhout G Blades Brown G Max Homa G Ben Kohles,,Ben Griffin,G,26.53%,97.5
2,5180140796,gtsml (9/20),0,658.5,G Chris Gotterup G Ben Griffin G Blades Brown G Jackson Suber G Lucas Glover G Preston Stout,,Tom Kim,G,25.66%,73
3,5179780193,Fathead75,0,658,G Chris Gotterup G Jacob Bridgeman G Ryo Hisatsune G Jackson Suber G Ben Kohles G Zac Blair,,Blades Brown,G,23.44%,96
4,5179372943,Saintman51,0,655.5,G Chris Gotterup G Doug Ghim G Ryo Hisatsune G Christiaan Bezuidenhout G Tony Finau G Ben Kohles,,Jackson Koivun,G,21.68%,30
5,5180140790,gtsml (3/20),0,655,G Chris Gotterup G Ben Griffin G Blades Brown G Ben Kohles G Zac Blair G Zach Johnson,,Chris Gotterup,G,20.91%,137
6,5179776666,grajak (3/9),0,650.5,G Chris Gotterup G Ben Griffin G Max Homa G Emiliano Grillo G Matt Kuchar G Lucas Glover,,Ryo Hisatsune,G,20.02%,108
7,5178278809,cbizz151 (6/20),0,650,G Chris Gotterup G Eric Cole G Davis Thompson G Mac Meissner G Max Homa G Zach Johnson,,Eric Cole,G,17.91%,93
7,5180227374,989michaels,0,650,G Chris Gotterup G Rickie Fowler G Christiaan Bezuidenhout G Blades Brown G Jackson Suber G Ben Kohles,,Jacob Bridgeman,G,17.89%,81
9,5178397625,drega09 (9/20),0,648.5,G Chris Gotterup G Pierceson Coody G Ryo Hisatsune G Blades Brown G Jackson Suber G Ben Kohles,,Keith Mitchell,G,17.78%,79
10,5179388951,purpleHayz (2/2),0,648,G Chris Gotterup G J.T. Poston G Christiaan Bezuidenhout G Jackson Suber G Ben Kohles G Zac Blair,,Jackson Suber,G,15.95%,110
11,5178462323,jessicadill (2/2),0,644.5,G Chris Gotterup G Eric Cole G Doug Ghim G Jackson Suber G Ben Kohles G Mark Hubbard,,Denny McCarthy,G,15.92%,32
11,5179419123,ziggitywood (2/20),0,644.5,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Jackson Suber G Kevin Yu G Ben Kohles,,J.T. Poston,G,14.55%,78
13,5178946859,boyle5000 (11/20),0,644,G Chris Gotterup G Keegan Bradley G Blades Brown G Max Homa G Jackson Suber G Matt Kuchar,,Andrew Novak,G,13.89%,26.5
14,5178820820,scooter8174 (2/20),0,643,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Blades Brown G Jackson Suber G Ben Kohles,,Doug Ghim,G,12.99%,111.5
15,5178768261,ouroboros0 (5/20),0,640,G Chris Gotterup G Eric Cole G Ryo Hisatsune G Mac Meissner G Jackson Suber G Tom Hoge,,Michael Kim,G,12.87%,24
15,5180191677,PThompson42 (15/20),0,640,G Chris Gotterup G Rickie Fowler G Ryo Hisatsune G Tony Finau G Max Homa G Jackson Suber,,Sudarshan Yellamaraju,G,12.58%,33
15,5180205888,Aoteoroa (5/6),0,640,G Chris Gotterup G Eric Cole G Doug Ghim G Jackson Suber G Ben Kohles G Chan Kim,,Jordan Spieth,G,12.41%,77
15,5180212828,Aoteoroa (6/6),0,640,G Chris Gotterup G Eric Cole G Doug Ghim G Jackson Suber G Ben Kohles G Chan Kim,,Keegan Bradley,G,12.16%,87
19,5179441720,R.Bobby (2/6),0,637.5,G Chris Gotterup G Ben Griffin G Max Homa G Jackson Suber G A.J. Ewart G Lucas Glover,,Daniel Berger,G,12.10%,33
20,5178738248,slasher2017 (1/8),0,636,G Chris Gotterup G Tom Kim G Christiaan Bezuidenhout G Blades Brown G Max Homa G Jackson Suber,,Emiliano Grillo,G,11.33%,83.5
21,5178483344,ltjimdangle9 (4/6),0,635,G Chris Gotterup G Keith Mitchell G Max Homa G Emiliano Grillo G Kevin Yu G Ben Kohles,,Rickie Fowler,G,11.15%,87
22,5179075756,6donkey9 (2/5),0,632.5,G Chris Gotterup G Keegan Bradley G Christiaan Bezuidenhout G Tony Finau G Jackson Suber G Lucas Glover,,Sungjae Im,G,10.85%,69.5
23,5179850567,charlesrayallday (8/20),0,632,G Chris Gotterup G Eric Cole G Mac Meissner G Tony Finau G Max Homa G Kevin Yu,,Christiaan Bezuidenhout,G,10.82%,101
23,5179930590,Jayalger (1/4),0,632,G Chris Gotterup G Tom Kim G Davis Thompson G Christiaan Bezuidenhout G Jackson Suber G Ben Kohles,,Mac Meissner,G,10.68%,106.5
25,5179730272,naugyhound (4/4),0,629,G Chris Gotterup G Eric Cole G Mac Meissner G Blades Brown G Max Homa G Andrew Putnam,,Michael Thorbjornsen,G,10.02%,34
26,5179943845,Jayalger (3/4),0,628.5,G Chris Gotterup G J.T. Poston G Christiaan Bezuidenhout G Blades Brown G Kevin Yu G Ben Kohles,,Pierceson Coody,G,9.92%,78.5
26,5179946959,Jayalger (4/4),0,628.5,G Chris Gotterup G J.T. Poston G Christiaan Bezuidenhout G Blades Brown G Kevin Yu G Ben Kohles,,Aldrich Potgieter,G,9.76%,37.5
28,5179619854,derekdog (6/20),0,628,G Chris Gotterup G Jacob Bridgeman G Christiaan Bezuidenhout G Blades Brown G Jackson Suber G Zac Blair,,Ben Kohles,G,9.59%,119
29,5179704548,BIGOOOS (5/20),0,627.5,G Chris Gotterup G Rickie Fowler G Ryo Hisatsune G Tony Finau G Max Homa G Kevin Yu,,Tony Finau,G,9.34%,79
29,5179823063,sugurray4u (10/11),0,627.5,G Chris Gotterup G Pierceson Coody G Doug Ghim G Blades Brown G Ben Kohles G Tom Hoge,,Max Homa,G,9.24%,119
31,5178472937,shotgun17 (2/8),0,627,G Ben Griffin G Eric Cole G Mac Meissner G Christiaan Bezuidenhout G Max Homa G Jackson Suber,,John Keefer,G,8.54%,36.5
32,5179770587,BIGOOOS (14/20),0,626.5,G Chris Gotterup G Tom Kim G Ryo Hisatsune G Christiaan Bezuidenhout G Jackson Suber G Kevin Yu,,Davis Thompson,G,8.01%,92
32,5180143779,trebors (1/2),0,626.5,G Chris Gotterup G Jacob Bridgeman G Blades Brown G Max Homa G Jackson Suber G Emiliano Grillo,,Rico Hoey,G,7.68%,34.5
32,5180237951,stenzy0314 (3/3),0,626.5,G Chris Gotterup G Jacob Bridgeman G Blades Brown G Jackson Suber G Emiliano Grillo G Ben Kohles,,Matt Wallace,G,7.17%,83
35,5178582246,pat_the_hat2 (19/20),0,626,G Chris Gotterup G Keegan Bradley G Max Homa G Max McGreevy G Ben Kohles G William Mouw,,Carson Young,G,7.16%,32.5
36,5178415418,kmulligan537 (8/11),0,625.5,G Chris Gotterup G Jordan Spieth G Rickie Fowler G Ben Kohles G Zac Blair G Zach Johnson,,Max Greyserman,G,6.58%,34.5
37,5180033062,Billnap (4/9),0,624,G Chris Gotterup G Ben Griffin G Doug Ghim G Lucas Glover G Lanto Griffin G David Skinns,,Michael Brennan,G,6.56%,84.5
38,5179501909,richardbdrk1 (2/4),0,623.5,G Chris Gotterup G Keith Mitchell G Christiaan Bezuidenhout G Blades Brown G Ben Kohles G Trace Crowe,,Taylor Moore,G,6.44%,31
38,5179825901,Carolinakidz (8/10),0,623.5,G Chris Gotterup G Ben Griffin G Emiliano Grillo G Ben Kohles G Zachary Bauchou G Lucas Glover,,Kevin Yu,G,5.63%,97.5
40,5179355096,shoony,0,623,G Chris Gotterup G Jordan Spieth G Christiaan Bezuidenhout G Tony Finau G Max Homa G Jackson Suber,,Andrew Putnam,G,5.58%,77.5
41,5179600299,jnorox (5/8),0,621.5,G Chris Gotterup G Rickie Fowler G Ryo Hisatsune G Blades Brown G Jackson Suber G Emiliano Grillo,,Max McGreevy,G,5.04%,83
42,5178789593,derekdog (3/20),0,620.5,G Chris Gotterup G Eric Cole G Doug Ghim G Christiaan Bezuidenhout G Blades Brown G Davis Riley,,Zachary Bauchou,G,4.78%,68
43,5178414855,TambLim (2/20),0,620,G Chris Gotterup G Eric Cole G Mac Meissner G Blades Brown G Jackson Suber G Andrew Putnam,,Taylor Pendrith,G,4.53%,33.5
43,5180231378,EagleEye3434 (16/20),0,620,G Chris Gotterup G J.T. Poston G Christiaan Bezuidenhout G Jackson Suber G Ben Kohles G Adrien Dumont De Chassart,,A.J. Ewart,G,4.22%,55.5
45,5178265030,F___thejets (15/20),0,619.5,G Chris Gotterup G Rickie Fowler G Doug Ghim G Kevin Yu G Ben Kohles G Austin Eckroat,,Austin Eckroat,G,3.95%,67.5
45,5180148833,JLR1985 (16/20),0,619.5,G Chris Gotterup G Doug Ghim G Ryo Hisatsune G Christiaan Bezuidenhout G Tony Finau G Max McGreevy,,Patrick Rodgers,G,3.07%,0
47,5179273732,cptnspaulding (9/20),0,619,G Chris Gotterup G Matt Wallace G Ryo Hisatsune G Mac Meissner G Christiaan Bezuidenhout G Emiliano Grillo,,Austin Smotherman,G,2.98%,74
48,5179619466,FortGarryLions (19/20),0,618.5,G Chris Gotterup G Tom Kim G Doug Ghim G Jackson Suber G Ben Kohles G Zachary Bauchou,,William Mouw,G,2.73%,81
