Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5104578822,btthirtyone,0,527.5,G Rory McIlroy G Patrick Reed G Russell Henley G Harris English G Ryan Gerard G Jake Knapp,,Matt Fitzpatrick,G,30.35%,70
2,5107969588,hookabrotherup,0,523,G Rory McIlroy G Shane Lowry G Patrick Cantlay G Russell Henley G Maverick McNealy G Keegan Bradley,,Min Woo Lee,G,26.85%,11
3,5106736202,RealtimeRush,0,520.5,G Collin Morikawa G Matt Fitzpatrick G Jordan Spieth G Tyrrell Hatton G Russell Henley G Sam Burns,,Jon Rahm,G,26.59%,60
3,5108803095,markyboyj54,0,520.5,G Rory McIlroy G Justin Rose G Tyrrell Hatton G Max Homa G Sergio Garcia G Ryan Gerard,,Xander Schauffele,G,24.87%,84.5
5,5107364675,Huckinfungry,0,518.5,G Justin Rose G Matt Fitzpatrick G Shane Lowry G Tyrrell Hatton G Chris Gotterup G Russell Henley,,Adam Scott,G,24.73%,66
6,5105817570,maf154,0,516.5,G Xander Schauffele G Cameron Young G Justin Rose G Russell Henley G Adam Scott G Alex Noren,,Ludvig Aberg,G,22.78%,80.5
7,5102394929,kabme,0,515.5,G Ludvig Aberg G Xander Schauffele G Tyrrell Hatton G Russell Henley G Harris English G Max Homa,,Jacob Bridgeman,G,22.60%,55
8,5105522416,F___thejets,0,514.5,G Rory McIlroy G Jordan Spieth G Russell Henley G Harris English G Maverick McNealy G Jake Knapp,,Cameron Young,G,22.50%,95.5
9,5106906621,zburke4,0,512.5,G Collin Morikawa G Cameron Young G Matt Fitzpatrick G Tyrrell Hatton G Max Homa G Maverick McNealy,,Bryson DeChambeau,G,20.95%,24
10,5109380937,mrmvp479,0,512,G Xander Schauffele G Cameron Young G Brooks Koepka G Russell Henley G Maverick McNealy G Jake Knapp,,Tommy Fleetwood,G,19.93%,70.5
11,5107800447,beerho,0,511.5,G Cameron Young G Justin Rose G Shane Lowry G Tyrrell Hatton G Chris Gotterup G Adam Scott,,Si Woo Kim,G,19.58%,51.5
12,5100480667,packetb0y,0,511,G Tommy Fleetwood G Justin Rose G Tyrrell Hatton G Patrick Cantlay G Russell Henley G Jason Day,,Akshay Bhatia,G,19.11%,27.5
13,5109308411,properlyrooted,0,510,G Collin Morikawa G Tommy Fleetwood G Chris Gotterup G Russell Henley G Sam Burns G Jake Knapp,,Patrick Reed,G,18.18%,81
14,5106840261,Kutendo,0,507.5,G Cameron Young G Justin Rose G Patrick Reed G Matt Fitzpatrick G Brian Harman G Jake Knapp,,Robert MacIntyre,G,16.42%,23.5
15,5107758158,FlatzKixAss,0,506.5,G Cameron Young G Patrick Reed G Jordan Spieth G Tyrrell Hatton G Patrick Cantlay G Jake Knapp,,Nicolai Hojgaard,G,14.66%,26
16,5107930578,blilly74,0,505,G Xander Schauffele G Cameron Young G Matt Fitzpatrick G Russell Henley G Maverick McNealy G Jake Knapp,,Jake Knapp,G,14.46%,89
16,5108490227,schrabes,0,505,G Xander Schauffele G Cameron Young G Matt Fitzpatrick G Russell Henley G Maverick McNealy G Jake Knapp,,Chris Gotterup,G,14.34%,68.5
18,5101436545,lyhanson,0,503,G Tommy Fleetwood G Cameron Young G Justin Rose G Tyrrell Hatton G Adam Scott G Wyndham Clark,,Corey Conners,G,12.36%,61.5
18,5106943805,kburgess614,0,503,G Tommy Fleetwood G Justin Rose G Patrick Reed G Tyrrell Hatton G Max Homa G Adam Scott,,Hideki Matsuyama,G,11.73%,81.5
18,5109275132,bbair11,0,503,G Cameron Young G Justin Rose G Matt Fitzpatrick G Tyrrell Hatton G Jason Day G Harris English,,Maverick McNealy,G,10.61%,67.5
21,5099754966,chachport,0,502,G Rory McIlroy G Tyrrell Hatton G Russell Henley G Corey Conners G Jacob Bridgeman G Harris English,,Tyrrell Hatton,G,9.52%,98
22,5100671966,Prattac1,0,501,G Xander Schauffele G Cameron Young G Jordan Spieth G Russell Henley G Max Homa G Adam Scott,,Harris English,G,9.41%,68
22,5106389185,Shredskins3,0,501,G Justin Rose G Patrick Reed G Matt Fitzpatrick G Tyrrell Hatton G Corey Conners G Jake Knapp,,Jordan Spieth,G,9.16%,70.5
24,5108921091,Roadrage94,0,500.5,G Cameron Young G Viktor Hovland G Shane Lowry G Tyrrell Hatton G Russell Henley G Si Woo Kim,,Russell Henley,G,9.03%,98.5
25,5103933409,Phil80041,0,500,G Ludvig Aberg G Cameron Young G Chris Gotterup G Russell Henley G Harris English G Jake Knapp,,Scottie Scheffler,G,8.68%,105
26,5106680847,jimcallahan55,0,499.5,G Ludvig Aberg G Xander Schauffele G Brooks Koepka G Tyrrell Hatton G Brian Harman G Jake Knapp,,Justin Rose,G,8.40%,101.5
26,5108722661,glucose,0,499.5,G Justin Rose G Patrick Reed G Jordan Spieth G Shane Lowry G Russell Henley G Adam Scott,,Rory McIlroy,G,7.11%,121
26,5109305774,Paulh,0,499.5,G Jon Rahm G Cameron Young G Justin Rose G Tyrrell Hatton G Adam Scott G Hao-Tong Li,,Jason Day,G,6.75%,70
29,5098349536,vismonkey,0,499,G Rory McIlroy G Justin Rose G Chris Gotterup G Adam Scott G Wyndham Clark G Alex Noren,,Cameron Smith,G,6.48%,19
29,5101242490,abest840,0,499,G Xander Schauffele G Collin Morikawa G Cameron Young G Max Homa G Adam Scott G Wyndham Clark,,Brooks Koepka,G,6.28%,77
31,5104063528,all-Gs-Pack,0,498.5,G Justin Rose G Patrick Reed G Jordan Spieth G Tyrrell Hatton G Corey Conners G Max Homa,,Sam Stevens,G,6.27%,68
32,5105581148,baldwinrye,0,497,G Ludvig Aberg G Matt Fitzpatrick G Shane Lowry G Tyrrell Hatton G Russell Henley G Harris English,,J.J. Spaun,G,5.87%,19
