Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5107910194,evanmhays (2/2),0,540.5,G Rory McIlroy G Cameron Young G Tyrrell Hatton G Alex Noren G Michael Brennan G Jake Knapp,,Matt Fitzpatrick,G,28.11%,70
2,5107361789,clcbear99 (2/4),0,538.5,G Rory McIlroy G Tyrrell Hatton G Patrick Cantlay G Jason Day G Sam Burns G Jake Knapp,,Min Woo Lee,G,25.71%,11
3,5108160944,cvferguson (4/20),0,538,G Cameron Young G Justin Rose G Brooks Koepka G Tyrrell Hatton G Russell Henley G Maverick McNealy,,Jon Rahm,G,25.49%,60
4,5109182077,jamjack (10/10),0,533.5,G Cameron Young G Justin Rose G Patrick Reed G Russell Henley G Harris English G Jake Knapp,,Xander Schauffele,G,24.78%,84.5
5,5108730104,lucky.greppy (14/20),0,533,G Cameron Young G Hideki Matsuyama G Jordan Spieth G Tyrrell Hatton G Russell Henley G Jake Knapp,,Adam Scott,G,20.54%,66
6,5105888100,BLEHarveyOswald (15/16),0,531.5,G Cameron Young G Justin Rose G Patrick Reed G Russell Henley G Adam Scott G Jake Knapp,,Cameron Young,G,20.46%,95.5
6,5109059128,bobcat115 (3/12),0,531.5,G Cameron Young G Justin Rose G Patrick Reed G Russell Henley G Adam Scott G Jake Knapp,,Si Woo Kim,G,19.80%,51.5
6,5109182075,jamjack (8/10),0,531.5,G Cameron Young G Justin Rose G Patrick Reed G Russell Henley G Adam Scott G Jake Knapp,,Jacob Bridgeman,G,19.79%,55
9,5105231523,seamus615 (20/20),0,529.5,G Rory McIlroy G Cameron Young G Russell Henley G Jacob Bridgeman G Brian Harman G Jake Knapp,,Bryson DeChambeau,G,19.63%,24
10,5108376819,cmiddleton9437 (2/6),0,529,G Rory McIlroy G Tyrrell Hatton G Chris Gotterup G Patrick Cantlay G Russell Henley G Brian Harman,,Tommy Fleetwood,G,19.39%,70.5
11,5108489954,RINO19 (16/20),0,527.5,G Collin Morikawa G Justin Rose G Viktor Hovland G Russell Henley G Sam Stevens G Jake Knapp,,Ludvig Aberg,G,19.17%,80.5
12,5108193208,LandonGG (6/8),0,527,G Rory McIlroy G Hideki Matsuyama G Russell Henley G Sam Burns G Maverick McNealy G Alex Noren,,Robert MacIntyre,G,17.42%,23.5
13,5108556291,musky311 (13/20),0,526.5,G Xander Schauffele G Cameron Young G Justin Rose G Sam Burns G Harris English G Jake Knapp,,Akshay Bhatia,G,16.44%,27.5
14,5106896919,rpough911 (2/20),0,526,G Rory McIlroy G Justin Rose G Sam Burns G Adam Scott G Jake Knapp G Gary Woodland,,Patrick Reed,G,15.20%,81
15,5105733845,Mousedef (12/20),0,525.5,G Xander Schauffele G Justin Rose G Hideki Matsuyama G Russell Henley G Sam Burns G Wyndham Clark,,Jake Knapp,G,14.15%,89
16,5108539549,icealford (15/20),0,524.5,G Rory McIlroy G Xander Schauffele G Russell Henley G Adam Scott G Kristoffer Reitan G Jake Knapp,,Hideki Matsuyama,G,14.07%,81.5
17,5100527346,AllDayAP31 (6/17),0,523.5,G Cameron Young G Justin Rose G Tyrrell Hatton G Chris Gotterup G Russell Henley G Corey Conners,,Nicolai Hojgaard,G,13.32%,26
18,5103854050,Shinville (6/20),0,523,G Rory McIlroy G Cameron Young G Russell Henley G Jason Day G Maverick McNealy G Brian Harman,,Chris Gotterup,G,12.90%,68.5
19,5109170195,Nadesify (5/5),0,522.5,G Justin Rose G Patrick Reed G Shane Lowry G Tyrrell Hatton G Russell Henley G Corey Conners,,Maverick McNealy,G,12.18%,67.5
20,5108746222,arweaver8 (14/20),0,521.5,G Rory McIlroy G Xander Schauffele G Justin Rose G Brian Harman G Kristoffer Reitan G Hao-Tong Li,,Russell Henley,G,11.44%,98.5
21,5101007811,shotgun17 (10/20),0,521,G Rory McIlroy G Justin Rose G Sam Burns G Harris English G Max Homa G Marco Penge,,Corey Conners,G,10.86%,61.5
