Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5140705723,The_Pugfather22,0,486.5,G Jon Rahm G Cameron Young G Xander Schauffele G Aaron Rai G Ryan Gerard G Alex Smalley,,Cameron Young,G,38.23%,65.5
2,5140984772,jmsISGRIT,0,485.5,G Xander Schauffele G Matt Fitzpatrick G Ludvig Aberg G Harris English G Aaron Rai G David Puig,,Rickie Fowler,G,29.49%,52
3,5140895446,bromsaway1212,0,480,G Cameron Young G Xander Schauffele G Justin Rose G Rickie Fowler G Aaron Rai G Alex Smalley,,Scottie Scheffler,G,28.59%,65
4,5138532391,Robtmar,0,465.5,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Kristoffer Reitan G Alex Smalley,,Nicolai Hojgaard,G,27.42%,60.5
5,5140993062,Remi128,0,463.5,G Rory McIlroy G Ludvig Aberg G Kurt Kitayama G Dustin Johnson G Aaron Rai G Keith Mitchell,,Ludvig Aberg,G,21.99%,84
6,5140687685,wbater75,0,462,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Si Woo Kim,G,18.38%,58.5
7,5139200862,pgillty13,0,459.5,G Jon Rahm G Hideki Matsuyama G Patrick Reed G Chris Gotterup G Aaron Rai G Alex Fitzpatrick,,Tommy Fleetwood,G,17.12%,16.5
8,5139925428,BigBucks647373,0,457.5,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Rickie Fowler G Kristoffer Reitan G Alex Smalley,,Alex Fitzpatrick,G,17.12%,53
8,5140992673,QSon1981,0,457.5,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Rickie Fowler G Kristoffer Reitan G Alex Smalley,,Adam Scott,G,16.19%,16.5
10,5138854806,gforce182,0,456.5,G Cameron Young G Xander Schauffele G Ludvig Aberg G Harris English G Nicolai Hojgaard G Alex Smalley,,Matt Fitzpatrick,G,13.49%,70
11,5139082939,ox2111,0,448,G Jon Rahm G Cameron Young G Matt Fitzpatrick G Harris English G Alex Smalley G Alex Fitzpatrick,,J.J. Spaun,G,13.40%,20
12,5139745901,partysover5,0,446,G Cameron Young G Xander Schauffele G Matt Fitzpatrick G Harris English G Kristoffer Reitan G Alex Smalley,,Jon Rahm,G,11.70%,87
13,5140996979,JIMMYJACK35,0,445,G Scottie Scheffler G Jon Rahm G Si Woo Kim G Aaron Rai G Christiaan Bezuidenhout G Casey Jarvis,,Matthew McCarty,G,11.42%,10
