Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5139319784,chazemclean (18/20),0,493.5,G Rory McIlroy G Jon Rahm G Min Woo Lee G Alex Noren G Aaron Rai G Alex Smalley,,Cameron Young,G,30.95%,65.5
2,5138743618,steemkatz (5/20),0,486.5,G Jon Rahm G Cameron Young G Xander Schauffele G Aaron Rai G Ryan Gerard G Alex Smalley,,Nicolai Hojgaard,G,26.13%,60.5
2,5140134157,schrabes (17/20),0,486.5,G Jon Rahm G Cameron Young G Xander Schauffele G Aaron Rai G Ryan Gerard G Alex Smalley,,Scottie Scheffler,G,25.58%,65
2,5140322878,huger99 (1/6),0,486.5,G Jon Rahm G Cameron Young G Xander Schauffele G Aaron Rai G Ryan Gerard G Alex Smalley,,Rickie Fowler,G,23.78%,52
2,5140702877,tbonebalt34845 (7/17),0,486.5,G Jon Rahm G Cameron Young G Xander Schauffele G Aaron Rai G Ryan Gerard G Alex Smalley,,Ludvig Aberg,G,21.89%,84
2,5140888167,outlaws745 (2/8),0,486.5,G Jon Rahm G Cameron Young G Xander Schauffele G Aaron Rai G Ryan Gerard G Alex Smalley,,Si Woo Kim,G,17.37%,58.5
7,5139954234,Prez_III (9/20),0,482,G Cameron Young G Xander Schauffele G Matt Fitzpatrick G Aaron Rai G Taylor Pendrith G Alex Smalley,,Jon Rahm,G,15.69%,87
8,5138820826,grey31 (16/20),0,481.5,G Scottie Scheffler G Xander Schauffele G Harris English G Aaron Rai G Alex Smalley G Alex Fitzpatrick,,Adam Scott,G,15.42%,16.5
9,5139937699,daegusk (1/5),0,481,G Scottie Scheffler G Cameron Young G Kurt Kitayama G Aaron Rai G Alex Smalley G Nick Taylor,,Tommy Fleetwood,G,15.40%,16.5
10,5138650565,mackers5757 (9/20),0,480.5,G Rory McIlroy G Justin Thomas G Jordan Spieth G Brian Harman G Aaron Rai G Alex Smalley,,Alex Fitzpatrick,G,15.39%,53
11,5140045379,Papy324 (4/20),0,479,G Jon Rahm G Cameron Young G Ludvig Aberg G Kurt Kitayama G David Puig G Alex Smalley,,Matt Fitzpatrick,G,15.06%,70
12,5140825018,briancul (8/20),0,478.5,G Jon Rahm G Cameron Young G Ludvig Aberg G Kurt Kitayama G Kristoffer Reitan G Alex Smalley,,Rory McIlroy,G,14.47%,72.5
13,5138820867,grey31 (18/20),0,477,G Xander Schauffele G Matt Fitzpatrick G Jordan Spieth G Kurt Kitayama G Harris English G Aaron Rai,,Xander Schauffele,G,14.39%,74
14,5139743772,brooktown (17/20),0,476.5,G Rory McIlroy G Jon Rahm G Maverick McNealy G Aaron Rai G Nicolai Hojgaard G Michael Kim,,Min Woo Lee,G,12.97%,66.5
15,5140961021,jeffylube (2/20),0,476,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Alex Smalley G Alex Fitzpatrick,,J.J. Spaun,G,11.39%,20
16,5140817214,pmcguire60 (1/4),0,475.5,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Aaron Rai G Keith Mitchell G Kristoffer Reitan,,Alex Smalley,G,11.12%,96.5
17,5139053125,vafarmertom (13/20),0,473.5,G Jon Rahm G Justin Rose G Patrick Reed G Sam Burns G Aaron Rai G Kristoffer Reitan,,Patrick Cantlay,G,10.86%,53.5
18,5140942199,doro2430 (11/20),0,473,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Aaron Rai G Rasmus Hojgaard G Nicolai Hojgaard,,Kristoffer Reitan,G,10.56%,64
19,5138377067,kdnoles644,0,471.5,G Scottie Scheffler G Ludvig Aberg G Sam Burns G Aaron Rai G Alex Smalley G John Parry,,Matthew McCarty,G,10.31%,10
19,5139674324,peewee35 (4/20),0,471.5,G Rory McIlroy G Ludvig Aberg G Chris Gotterup G Aaron Rai G Nicolai Hojgaard G Max Greyserman,,Sam Burns,G,9.99%,63.5
21,5140267463,KTollette (1/2),0,471,G Jon Rahm G Cameron Young G Chris Gotterup G Maverick McNealy G Aaron Rai G Kristoffer Reitan,,Russell Henley,G,9.27%,20.5
22,5140739196,mattsib (16/20),0,469,G Scottie Scheffler G Cameron Young G Aaron Rai G Nicolai Hojgaard G David Puig G Alex Smalley,,Kurt Kitayama,G,9.09%,81.5
23,5140530246,herrma02 (6/20),0,466.5,G Xander Schauffele G Matt Fitzpatrick G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Tyrrell Hatton,G,8.81%,20
24,5138492544,hawggrizz1996 (9/20),0,466,G Matt Fitzpatrick G Ludvig Aberg G Patrick Reed G Ben Griffin G Aaron Rai G Kristoffer Reitan,,Chris Gotterup,G,8.77%,70
25,5140825017,briancul (7/20),0,465.5,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Kristoffer Reitan G Alex Smalley,,Harris English,G,8.14%,76
26,5138811785,grey31 (2/20),0,465,G Jon Rahm G Cameron Young G Patrick Cantlay G Kurt Kitayama G Aaron Rai G Nicolai Hojgaard,,Brooks Koepka,G,8.14%,55
26,5138820601,grey31 (11/20),0,465,G Ludvig Aberg G Tommy Fleetwood G Justin Rose G Harris English G Aaron Rai G Alex Smalley,,Bryson DeChambeau,G,7.94%,22.5
26,5139514324,Aggies_1 (2/4),0,465,G Rory McIlroy G Xander Schauffele G Si Woo Kim G Aaron Rai G Ryan Gerard G Alex Smalley,,Harry Hall,G,7.77%,17.5
29,5138864383,cbizz151 (4/20),0,464,G Jon Rahm G Cameron Young G Matt Fitzpatrick G Aaron Rai G Nicolai Hojgaard G Kristoffer Reitan,,Gary Woodland,G,7.67%,15
29,5140549797,PLAYASVILLE (8/20),0,464,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Harris English G Ryan Gerard G Alex Smalley,,Patrick Reed,G,7.20%,67
31,5138829935,TBA3344 (2/3),0,463,G Ludvig Aberg G Hideki Matsuyama G Patrick Reed G Chris Gotterup G Aaron Rai G Ryo Hisatsune,,Jacob Bridgeman,G,7.19%,14
31,5139548000,Keithb66 (1/3),0,463,G Cameron Young G Ludvig Aberg G Justin Thomas G Rickie Fowler G Aaron Rai G Nicolai Hojgaard,,Collin Morikawa,G,6.70%,54
33,5139588838,cj_jung88,0,462.5,G Cameron Young G Xander Schauffele G Sam Burns G Min Woo Lee G Harris English G Aaron Rai,,Thomas Detry,G,6.52%,17.5
33,5140217743,cowboys767 (10/20),0,462.5,G Rory McIlroy G Ludvig Aberg G Sam Burns G Kurt Kitayama G David Puig G Alex Smalley,,Robert MacIntyre,G,5.85%,22.5
35,5138768335,ynot4greg21 (4/20),0,462,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Akshay Bhatia,G,5.79%,20.5
35,5140080512,sbolomo (17/20),0,462,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Sepp Straka,G,5.72%,20
35,5140143522,griffman1003 (2/20),0,462,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Sudarshan Yellamaraju,G,5.72%,13.5
35,5140333922,JayDime (16/16),0,462,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,David Puig,G,5.69%,64.5
35,5140515045,B.T.F.D (2/3),0,462,G Cameron Young G Xander Schauffele G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Jordan Spieth,G,5.65%,58.5
35,5140742491,RoobK19 (14/20),0,462,G Rory McIlroy G Ludvig Aberg G Sam Burns G Kurt Kitayama G Kristoffer Reitan G Alex Smalley,,Keegan Bradley,G,5.35%,15
41,5138509436,RMann82 (12/20),0,460.5,G Rory McIlroy G Ludvig Aberg G Justin Rose G Aaron Rai G Matti Schmid G Brian Campbell,,Maverick McNealy,G,5.17%,67.5
42,5139946126,dtnichols09 (19/20),0,460,G Jon Rahm G Matt Fitzpatrick G Justin Thomas G Si Woo Kim G Kristoffer Reitan G Alex Smalley,,Justin Thomas,G,4.81%,84
43,5139125699,aquafinatim (1/20),0,459.5,G Scottie Scheffler G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Michael Kim G Alex Smalley,,Shane Lowry,G,4.77%,63
44,5139101073,ChimmyChamp27 (5/20),0,458.5,G Xander Schauffele G Matt Fitzpatrick G Chris Gotterup G Min Woo Lee G Kurt Kitayama G Alex Smalley,,Sahith Theegala,G,4.68%,48.5
45,5139662909,B.T.F.D (1/3),0,458,G Cameron Young G Matt Fitzpatrick G Ludvig Aberg G Kurt Kitayama G Nicolai Hojgaard G Alex Smalley,,Justin Rose,G,4.60%,75
45,5140190979,rt1835reid (3/20),0,458,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Rickie Fowler G David Puig G Alex Smalley,,Alex Noren,G,4.46%,54
47,5138768350,ynot4greg21 (19/20),0,457.5,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Rickie Fowler G Kristoffer Reitan G Alex Smalley,,Nick Taylor,G,4.26%,55.5
47,5140149139,ROMETOWNBIZZ (3/4),0,457.5,G Scottie Scheffler G Patrick Reed G Harris English G Cameron Smith G Aaron Rai G Aldrich Potgieter,,Hideki Matsuyama,G,4.02%,65.5
