Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5200888401,kepenekela,0,616.5,G Xander Schauffele G Patrick Cantlay G Michael Thorbjornsen G Rickie Fowler G Mac Meissner G Rico Hoey,,Chris Gotterup,G,30.45%,27.5
2,5201881926,Scottw309,0,598.5,G Xander Schauffele G Ryan Gerard G Michael Thorbjornsen G Rickie Fowler G Davis Thompson G Emiliano Grillo,,Cameron Young,G,29.95%,87
3,5202315392,LRoyTheKing,0,595,G Xander Schauffele G Jackson Koivun G Michael Thorbjornsen G Michael Brennan G Mac Meissner G Luke Clanton,,Jake Knapp,G,26.58%,45
4,5202186572,HakeemTheDream,0,593,G Xander Schauffele G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Michael Kim G William Mouw,,Hideki Matsuyama,G,26.28%,98
5,5202866176,ehr16,0,591.5,G Xander Schauffele G Hideki Matsuyama G Rickie Fowler G Keegan Bradley G Matt Wallace G Mac Meissner,,Si Woo Kim,G,25.87%,75
6,5202469272,csurunnerccr,0,587.5,G Xander Schauffele G Jackson Koivun G Michael Thorbjornsen G Corey Conners G Emiliano Grillo G Rico Hoey,,Ben Kohles,G,23.79%,86
7,5202192305,bonesteelm,0,579.5,G Xander Schauffele G Russell Henley G Michael Thorbjornsen G Keegan Bradley G Davis Thompson G Zecheng Dou,,Jacob Bridgeman,G,23.49%,78
8,5200694960,PrimeTimeTK11,0,579,G Xander Schauffele G Patrick Cantlay G Michael Thorbjornsen G Keegan Bradley G Corey Conners G Jordan L. Smith,,Ryan Gerard,G,21.37%,99.5
9,5203218287,Kvegas3645,0,568.5,G Cameron Young G Hideki Matsuyama G Michael Thorbjornsen G Davis Thompson G Jackson Suber G Sungjae Im,,Wyndham Clark,G,19.99%,21
10,5202946063,Paul322,0,568,G Russell Henley G J.J. Spaun G Ryan Gerard G Michael Thorbjornsen G Rickie Fowler G Michael Kim,,Jackson Koivun,G,18.61%,76.5
11,5202576748,lakeside2220,0,567.5,G Cameron Young G Hideki Matsuyama G Michael Thorbjornsen G Doug Ghim G Kevin Roy G Luke Clanton,,Ryo Hisatsune,G,17.90%,62
12,5202535222,TheDCarman,0,565.5,G Jackson Koivun G Ryan Gerard G Michael Thorbjornsen G Rickie Fowler G Michael Brennan G Marco Penge,,Jackson Suber,G,15.78%,69.5
13,5202642939,gsbuckles,0,564,G Russell Henley G Hideki Matsuyama G Ryan Gerard G Michael Brennan G Davis Thompson G Doug Ghim,,Russell Henley,G,15.78%,91
14,5202401651,MnMoney,0,563.5,G Cameron Young G Ryan Gerard G Rickie Fowler G Michael Brennan G Corey Conners G Mac Meissner,,Rickie Fowler,G,14.43%,91
