Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5203009904,skigolfpoker (10/10),0,620.5,G Xander Schauffele G Hideki Matsuyama G Michael Thorbjornsen G Davis Thompson G Jackson Suber G Matt Wallace,,Cameron Young,G,31.21%,87
2,5201927380,heidinsmith12 (10/12),0,615.5,G Xander Schauffele G Hideki Matsuyama G Michael Thorbjornsen G Jacob Bridgeman G Matt Wallace G Ben Kohles,,Chris Gotterup,G,27.09%,27.5
3,5202397768,gehrenberg (8/20),0,609.5,G Xander Schauffele G Hideki Matsuyama G Michael Thorbjornsen G Keegan Bradley G Matt Wallace G Jordan L. Smith,,Si Woo Kim,G,25.57%,75
4,5202457189,jr_dk (20/20),0,601.5,G Xander Schauffele G Russell Henley G Patrick Cantlay G Davis Thompson G Rasmus Højgaard G Kris Ventura,,Jake Knapp,G,20.92%,45
5,5203182025,BChap71 (6/8),0,598.5,G Cameron Young G Hideki Matsuyama G Michael Thorbjornsen G Michael Brennan G Kevin Yu G Rico Hoey,,Wyndham Clark,G,20.67%,21
6,5202179408,seminolefs (15/20),0,598,G Xander Schauffele G Patrick Cantlay G Michael Thorbjornsen G Keegan Bradley G Matt Wallace G Jordan L. Smith,,Hideki Matsuyama,G,20.63%,98
7,5202616048,expostulate (8/20),0,597,G Russell Henley G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Michael Brennan G Keita Nakajima,,Jacob Bridgeman,G,19.65%,78
8,5202406226,GreenTailShiner (4/20),0,593,G Xander Schauffele G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Michael Kim G William Mouw,,Jackson Koivun,G,18.91%,76.5
8,5203149182,jeffmorris007 (2/20),0,593,G Xander Schauffele G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Michael Kim G William Mouw,,Ryan Gerard,G,18.21%,99.5
8,5203159606,stock2mail (7/20),0,593,G Xander Schauffele G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Michael Kim G William Mouw,,Ben Kohles,G,17.59%,86
11,5203226123,doro2430 (17/20),0,588.5,G Russell Henley G Ryan Gerard G Michael Thorbjornsen G Rickie Fowler G Jacob Bridgeman G Davis Thompson,,J.J. Spaun,G,16.22%,68
12,5201619560,shon28 (12/12),0,585.5,G Xander Schauffele G Ryan Gerard G Michael Thorbjornsen G Rickie Fowler G Jackson Suber G Ben Kohles,,Russell Henley,G,16.07%,91
13,5201922993,dc385711 (7/20),0,583.5,G Xander Schauffele G Hideki Matsuyama G Michael Thorbjornsen G Davis Thompson G Jackson Suber G Doug Ghim,,Ryo Hisatsune,G,14.65%,62
13,5202893205,osustu03 (17/20),0,583.5,G Cameron Young G Patrick Cantlay G Michael Thorbjornsen G Davis Thompson G Mac Meissner G Michael Kim,,Xander Schauffele,G,14.32%,110
13,5203075971,dangasin (9/20),0,583.5,G Cameron Young G Patrick Cantlay G Michael Thorbjornsen G Davis Thompson G Mac Meissner G Michael Kim,,Patrick Cantlay,G,14.14%,86.5
16,5201162077,sportsfanatic89 (15/20),0,583,G Cameron Young G Xander Schauffele G Corey Conners G Matt Wallace G Mac Meissner G Sungjae Im,,Ben Griffin,G,13.96%,29
17,5202725890,bagwell77 (7/20),0,581,G Cameron Young G Hideki Matsuyama G Michael Thorbjornsen G Keegan Bradley G Corey Conners G Sungjae Im,,Davis Thompson,G,12.71%,99.5
18,5201737891,totototo (7/19),0,580.5,G Xander Schauffele G Russell Henley G Michael Thorbjornsen G Davis Thompson G Ben Kohles G Christiaan Bezuidenhout,,Akshay Bhatia,G,12.47%,29.5
18,5202489195,MOOSESCREW (1/4),0,580.5,G Patrick Cantlay G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Jacob Bridgeman G Michael Kim,,Jackson Suber,G,12.16%,69.5
20,5202845672,gulfernut (17/20),0,580,G Hideki Matsuyama G Ryan Gerard G Michael Thorbjornsen G Keegan Bradley G Davis Thompson G Johnny Keefer,,Rickie Fowler,G,11.99%,91
