Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5183631402,rocklobba,0,583.5,G Matt Fitzpatrick G Wyndham Clark G Min Woo Lee G Nicolai Hojgaard G Tom Kim G Victor Perez,,Alex Fitzpatrick,G,34.19%,24.5
2,5183917372,RLLilli,0,569,G Matt Fitzpatrick G Tommy Fleetwood G Robert MacIntyre G Patrick Reed G Tom Kim G Austin Eckroat,,Matt Fitzpatrick,G,30.28%,106.5
3,5185465296,shadyhskr,0,566,G Matt Fitzpatrick G Robert MacIntyre G Tyrrell Hatton G Kurt Kitayama G Tom Kim G Austin Eckroat,,Tommy Fleetwood,G,25.10%,77.5
4,5184473060,sigmaderby1,0,562,G Matt Fitzpatrick G Robert MacIntyre G Tyrrell Hatton G Tom Kim G Brian Harman G Tom McKibbin,,Tyrrell Hatton,G,24.93%,85
5,5184620313,WillieTheWimp,0,558.5,G Matt Fitzpatrick G Robert MacIntyre G Min Woo Lee G Aaron Rai G Tom Kim G Jordan L. Smith,,Wyndham Clark,G,22.41%,85
6,5184197947,tkanne24,0,556.5,G Tommy Fleetwood G Robert MacIntyre G Justin Thomas G Min Woo Lee G Tom Kim G Tom McKibbin,,Nicolai Hojgaard,G,21.03%,69
6,5184585953,cjharden,0,556.5,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Nicolai Hojgaard G Tom Kim G Victor Perez,,Tom Kim,G,20.39%,123.5
6,5184676454,bbbmoney,0,556.5,G Matt Fitzpatrick G Tommy Fleetwood G Tyrrell Hatton G Patrick Reed G Tom Kim G Francesco Molinari,,Shane Lowry,G,19.11%,29
9,5184705957,atjorace,0,555,G Matt Fitzpatrick G Tommy Fleetwood G Tyrrell Hatton G Tom Kim G Jordan L. Smith G Victor Perez,,Chris Gotterup,G,17.90%,79
10,5185263724,caseyb0710,0,554,G Tommy Fleetwood G Robert MacIntyre G Tyrrell Hatton G Patrick Reed G Tom Kim G Ryan Fox,,Robert MacIntyre,G,15.71%,110.5
11,5183581916,redfish611,0,551,G Rory McIlroy G Min Woo Lee G Tom Kim G Eugenio Lopez-Chacarra G Ryan Fox G Victor Perez,,Rory McIlroy,G,15.34%,92
11,5183924468,LSUTom123,0,551,G Wyndham Clark G Viktor Hovland G Robert MacIntyre G Nicolai Hojgaard G Tom Kim G Victor Perez,,Ludvig Aberg,G,14.74%,29.5
13,5184032002,bnast32,0,544.5,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Nicolai Hojgaard G Tom Kim G Mac Meissner,,Patrick Reed,G,14.50%,80
14,5184410124,drknkboot,0,544,G Matt Fitzpatrick G Wyndham Clark G Robert MacIntyre G Tom Kim G Corey Conners G Jesper Svensson,,Kristoffer Reitan,G,13.32%,24.5
15,5184797595,ShickTim,0,540.5,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Nicolai Hojgaard G Tom Kim G Brian Harman,,Aaron Rai,G,12.95%,23
16,5184815116,Csurcek,0,539,G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Tom Kim G Victor Perez G Oliver Lindell,,Oliver Lindell,G,11.71%,63
17,5184197514,OzarkMindhunter,0,537,G Matt Fitzpatrick G Chris Gotterup G Si Woo Kim G Tom Kim G Brian Harman G Nick Taylor,,Sahith Theegala,G,11.41%,54
18,5183963250,silencer17,0,536.5,G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Tom Kim G Victor Perez G Jesper Svensson,,Justin Thomas,G,10.63%,60
19,5184137336,coldcut1984,0,534.5,G Matt Fitzpatrick G Chris Gotterup G Wyndham Clark G Tom Kim G Ryan Fox G Oliver Lindell,,Xander Schauffele,G,9.89%,22.5
19,5184742643,natejacobson1,0,534.5,G Matt Fitzpatrick G Tyrrell Hatton G Si Woo Kim G Nicolai Hojgaard G Tom Kim G Jesper Svensson,,Kurt Kitayama,G,9.39%,69.5
21,5184285493,TheBlueFinch,0,534,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Kurt Kitayama G Tom Kim G Jesper Svensson,,Scottie Scheffler,G,8.98%,30
22,5183620799,mpontrich,0,533,G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Tom Kim G Ryan Fox G Oliver Lindell,,Corey Conners,G,8.65%,58
22,5183789890,tbird1957,0,533,G Matt Fitzpatrick G Wyndham Clark G Robert MacIntyre G Patrick Reed G Tom Kim G Grant Forrest,,Viktor Hovland,G,8.41%,79.5
22,5184000905,primero0322,0,533,G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Tom Kim G Ryan Fox G Oliver Lindell,,Adam Scott,G,7.94%,55.5
25,5183578664,Hermes2436,0,532,G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Tom Kim G Jordan L. Smith G Jesper Svensson,,Si Woo Kim,G,7.91%,90
26,5185159813,Donny521Mac,0,530,G Rory McIlroy G Robert MacIntyre G Tom Kim G Michael Brennan G Ryan Fox G Oliver Lindell,,Eugenio Lopez-Chacarra,G,7.74%,58.5
27,5183546408,oldschool24,0,528.5,G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Tom Kim G Mac Meissner G Nicolas Echavarria,,Brian Harman,G,7.10%,67.5
27,5184239102,Human_Tripod,0,528.5,G Wyndham Clark G Robert MacIntyre G Min Woo Lee G Nicolai Hojgaard G Alex Fitzpatrick G Tom Kim,,Marco Penge,G,6.56%,30
