Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5183742253,mknob87 (16/20),0,597.5,G Rory McIlroy G Min Woo Lee G Patrick Reed G Tom Kim G Ryan Fox G John Keefer,,Alex Fitzpatrick,G,27.33%,24.5
2,5184426633,jram409 (17/20),0,596.5,G Tommy Fleetwood G Robert MacIntyre G Si Woo Kim G Min Woo Lee G Tom Kim G Matti Schmid,,Tommy Fleetwood,G,24.55%,77.5
3,5185311433,dignan16 (12/20),0,589.5,G Chris Gotterup G Robert MacIntyre G Si Woo Kim G Min Woo Lee G Tom Kim G Nick Taylor,,Matt Fitzpatrick,G,23.02%,106.5
4,5184144534,khp5050 (10/20),0,586.5,G Matt Fitzpatrick G Robert MacIntyre G Kurt Kitayama G Min Woo Lee G Tom Kim G Jesper Svensson,,Tyrrell Hatton,G,19.28%,85
5,5184643537,kytyvince (19/20),0,586,G Matt Fitzpatrick G Wyndham Clark G Tyrrell Hatton G Tom Kim G Ryan Fox G John Keefer,,Wyndham Clark,G,18.24%,85
6,5184927682,dksmith0713 (16/20),0,581.5,G Matt Fitzpatrick G Chris Gotterup G Tyrrell Hatton G Tom Kim G Jordan L. Smith G John Keefer,,Nicolai Hojgaard,G,18.22%,69
7,5185188876,hhubbard (14/20),0,575,G Robert MacIntyre G Tyrrell Hatton G Justin Thomas G Min Woo Lee G Patrick Reed G Tom Kim,,Shane Lowry,G,16.48%,29
8,5183841012,rpough911 (1/15),0,565,G Rory McIlroy G Matt Fitzpatrick G Tom Kim G John Keefer G Mikael Lindberg G Calum Hill,,Chris Gotterup,G,16.32%,79
9,5184148128,rkowitz,0,564,G Matt Fitzpatrick G Wyndham Clark G Si Woo Kim G Patrick Reed G Tom Kim G Matti Schmid,,Tom Kim,G,16.04%,123.5
9,5184824089,MiamiSKC (4/20),0,564,G Matt Fitzpatrick G Tommy Fleetwood G Si Woo Kim G Tom Kim G Corey Conners G John Keefer,,Rory McIlroy,G,15.50%,92
11,5184257387,chacchi (3/3),0,559,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Tom Kim G Ryan Gerard G Victor Perez,,Ludvig Aberg,G,15.17%,29.5
11,5185143815,auweglman (15/20),0,559,G Rory McIlroy G Si Woo Kim G Min Woo Lee G Tom Kim G Casey Jarvis G Oliver Lindell,,Xander Schauffele,G,14.92%,22.5
13,5183794451,JcClark18 (1/20),0,558.5,G Tommy Fleetwood G Chris Gotterup G Tyrrell Hatton G Min Woo Lee G Tom Kim G Alejandro Del Rey,,Kristoffer Reitan,G,13.61%,24.5
14,5184880653,dcuff (9/20),0,557,G Tommy Fleetwood G Wyndham Clark G Tyrrell Hatton G Min Woo Lee G Tom Kim G Laurie Canter,,Robert MacIntyre,G,13.13%,110.5
15,5183506948,TattersDean (1/20),0,556.5,G Matt Fitzpatrick G Tommy Fleetwood G Min Woo Lee G Nicolai Hojgaard G Tom Kim G Calum Hill,,Justin Thomas,G,11.91%,60
15,5184586164,cjharden (1/2),0,556.5,G Wyndham Clark G Robert MacIntyre G Tyrrell Hatton G Nicolai Hojgaard G Tom Kim G Victor Perez,,Aaron Rai,G,11.80%,23
15,5185297933,rhowell3569 (4/20),0,556.5,G Rory McIlroy G Robert MacIntyre G Tom Kim G Corey Conners G Sudarshan Yellamaraju G John Keefer,,Scottie Scheffler,G,11.72%,30
