Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5191005635,cgregor5,0,492.5,G Tommy Fleetwood G Cameron Young G Robert MacIntyre G Sam Burns G Russell Henley G Adam Scott,,Matt Fitzpatrick,G,46.17%,22
2,5189574901,suttree,0,480.5,G Scottie Scheffler G Cameron Young G Chris Gotterup G Jacob Bridgeman G Max Homa G Ryan Fox,,Robert MacIntyre,G,30.89%,63
2,5190048384,ninja9legs,0,480.5,G Scottie Scheffler G Tommy Fleetwood G Russell Henley G Adam Scott G Ryan Fox G Jesper Svensson,,Rory McIlroy,G,27.99%,66
4,5191007047,uwake,0,473,G Tommy Fleetwood G Cameron Young G Robert MacIntyre G Sam Burns G Russell Henley G Patrick Cantlay,,Chris Gotterup,G,26.34%,67
5,5190569640,mbvetteguy,0,471.5,G Xander Schauffele G Cameron Young G Collin Morikawa G Chris Gotterup G Patrick Reed G Ryan Fox,,Wyndham Clark,G,25.24%,33.5
6,5189105318,jacobsjon,0,467.5,G Scottie Scheffler G Rory McIlroy G Rickie Fowler G Ryan Fox G Casey Jarvis G Eric Cole,,Tommy Fleetwood,G,24.97%,88
7,5189447667,scionboy23,0,465.5,G Tommy Fleetwood G Cameron Young G Collin Morikawa G Robert MacIntyre G Hideki Matsuyama G Si Woo Kim,,Tom Kim,G,22.15%,22.5
8,5190892642,brobeater,0,464,G Jon Rahm G Cameron Young G Bryson DeChambeau G Sam Burns G Russell Henley G Corey Conners,,Collin Morikawa,G,21.72%,72.5
9,5189900477,robertmiller2426,0,463.5,G Scottie Scheffler G Xander Schauffele G Collin Morikawa G Ryan Fox G Casey Jarvis G Nick Taylor,,Viktor Hovland,G,21.04%,23.5
10,5190595852,ACUAT2004,0,462,G Rory McIlroy G Jon Rahm G Cameron Young G Kurt Kitayama G Ryan Fox G Victor Perez,,Si Woo Kim,G,20.21%,76.5
11,5190192373,erog30,0,460,G Scottie Scheffler G Rory McIlroy G Patrick Reed G Ryan Fox G Lucas Herbert G Matthew Southgate,,Patrick Reed,G,18.76%,61
12,5190495836,dbshankle,0,459,G Jon Rahm G Cameron Young G Collin Morikawa G Sam Burns G Russell Henley G Patrick Reed,,Scottie Scheffler,G,17.70%,81.5
13,5190882784,mcooper2300,0,458.5,G Tommy Fleetwood G Jon Rahm G Collin Morikawa G Sam Burns G Si Woo Kim G Ryan Gerard,,Russell Henley,G,16.65%,74.5
14,5190694589,smallpiglet1,0,458,G Rory McIlroy G Cameron Young G Sam Burns G Justin Thomas G Hideki Matsuyama G Si Woo Kim,,Tyrrell Hatton,G,16.19%,46.5
15,5191030026,whodats28,0,456,G Rory McIlroy G Cameron Young G Sam Burns G Russell Henley G Corey Conners G J.J. Spaun,,Justin Rose,G,15.33%,24.5
16,5189972849,teubank10,0,455,G Rory McIlroy G Jon Rahm G Collin Morikawa G Si Woo Kim G Rickie Fowler G Ryan Fox,,Sam Burns,G,14.45%,92
17,5189049793,Sanford71,0,454,G Rory McIlroy G Cameron Young G Robert MacIntyre G Sam Burns G Hideki Matsuyama G Victor Perez,,Cameron Young,G,11.63%,96.5
18,5190727359,hacdougduo,0,453.5,G Tommy Fleetwood G Chris Gotterup G Robert MacIntyre G Sam Burns G Russell Henley G Hideki Matsuyama,,Alex Fitzpatrick,G,10.84%,44
19,5189592888,vanhorn23,0,452.5,G Scottie Scheffler G Tommy Fleetwood G Sam Burns G Ryan Gerard G Jordan L. Smith G Nick Taylor,,Jon Rahm,G,10.40%,62.5
