Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5190706069,an84eagle (1/4),0,511,G Tommy Fleetwood G Cameron Young G Collin Morikawa G Chris Gotterup G Si Woo Kim G Ryan Fox,,Matt Fitzpatrick,G,36.28%,22
2,5190970363,Raiderfanatic2195 (13/20),0,507.5,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Sam Burns G Ben Griffin G Ryan Fox,,Rory McIlroy,G,26.53%,66
3,5188884693,cyone25 (1/20),0,503.5,G Tommy Fleetwood G Xander Schauffele G Cameron Young G Shane Lowry G Adam Scott G Ryan Fox,,Robert MacIntyre,G,25.09%,63
4,5190743383,LesterNygaard (2/5),0,501,G Jon Rahm G Cameron Young G Collin Morikawa G Chris Gotterup G Sam Burns G Ryan Fox,,Tommy Fleetwood,G,24.76%,88
5,5189161991,charloots (6/14),0,500.5,G Rory McIlroy G Tommy Fleetwood G Cameron Young G Ryan Fox G Jordan L. Smith G Jackson Suber,,Scottie Scheffler,G,24.00%,81.5
6,5190184713,DIMETIME83 (17/20),0,498,G Scottie Scheffler G Robert MacIntyre G Sam Burns G Russell Henley G Si Woo Kim G Ryan Fox,,Wyndham Clark,G,21.37%,33.5
7,5188799926,jecadams (2/4),0,496,G Scottie Scheffler G Tommy Fleetwood G Sam Burns G Rasmus Neergaard-Petersen G Jordan L. Smith G Casey Jarvis,,Chris Gotterup,G,21.00%,67
8,5189835179,tprimo17 (2/2),0,494.5,G Tommy Fleetwood G Cameron Young G Collin Morikawa G Sam Burns G Hideki Matsuyama G Si Woo Kim,,Si Woo Kim,G,20.62%,76.5
9,5191013732,packjainter1414 (3/5),0,487.5,G Tommy Fleetwood G Cameron Young G Collin Morikawa G Sam Burns G Si Woo Kim G Jacob Bridgeman,,Viktor Hovland,G,19.87%,23.5
10,5190875575,Waggnr1 (3/6),0,486,G Tommy Fleetwood G Cameron Young G Shane Lowry G Sam Burns G Russell Henley G Hideki Matsuyama,,Collin Morikawa,G,19.16%,72.5
11,5190159217,evansrc717 (17/20),0,484,G Scottie Scheffler G Cameron Young G Sam Burns G Si Woo Kim G Kurt Kitayama G Adam Scott,,Tom Kim,G,17.87%,22.5
12,5190163785,slayeralph (3/7),0,482.5,G Scottie Scheffler G Xander Schauffele G Sam Burns G Ryan Gerard G Ryan Fox G Victor Perez,,Russell Henley,G,15.90%,74.5
13,5190999617,EvaDeathGirl69 (1/2),0,482,G Scottie Scheffler G Cameron Young G Chris Gotterup G Kurt Kitayama G Ryan Fox G Victor Perez,,Patrick Reed,G,14.71%,61
14,5190961116,Coachmuldy,0,481.5,G Scottie Scheffler G Collin Morikawa G Sam Burns G Si Woo Kim G Sepp Straka G Ryan Fox,,Jon Rahm,G,14.62%,62.5
15,5188812833,redsnapper109 (15/20),0,481,G Tommy Fleetwood G Cameron Young G Chris Gotterup G Sam Burns G Russell Henley G Max Homa,,Sam Burns,G,14.35%,92
15,5189338559,otbjoe (5/8),0,481,G Tommy Fleetwood G Xander Schauffele G Cameron Young G Sam Burns G Adam Scott G Jacob Bridgeman,,Tyrrell Hatton,G,14.24%,46.5
17,5190191880,TroubleinTucson (4/10),0,480.5,G Scottie Scheffler G Tommy Fleetwood G Si Woo Kim G Corey Conners G Ryan Fox G Sahith Theegala,,Justin Rose,G,14.15%,24.5
18,5189616952,spartansam1,0,478.5,G Tommy Fleetwood G Cameron Young G Shane Lowry G Sam Burns G Brooks Koepka G Si Woo Kim,,Xander Schauffele,G,11.94%,64
19,5188921540,daviddawdy10 (19/20),0,478,G Ludvig Aberg G Cameron Young G Collin Morikawa G Chris Gotterup G Sam Burns G Adam Scott,,Cameron Young,G,11.49%,96.5
19,5190261170,mbfender (3/4),0,478,G Rory McIlroy G Tommy Fleetwood G Shane Lowry G Hideki Matsuyama G Adam Scott G Ryan Fox,,Min Woo Lee,G,10.99%,52.5
19,5190438058,DeboYoMoney (4/20),0,478,G Tommy Fleetwood G Cameron Young G Bryson DeChambeau G Sam Burns G Patrick Reed G Hideki Matsuyama,,Alex Fitzpatrick,G,10.78%,44
22,5189546013,blindpic (2/20),0,476,G Xander Schauffele G Cameron Young G Collin Morikawa G Sam Burns G Russell Henley G Si Woo Kim,,Ludvig Aberg,G,10.29%,71.5
22,5189877058,mikekrus99 (7/12),0,476,G Xander Schauffele G Cameron Young G Collin Morikawa G Sam Burns G Russell Henley G Si Woo Kim,,Justin Thomas,G,9.85%,58
22,5190043071,druff000 (2/2),0,476,G Xander Schauffele G Cameron Young G Collin Morikawa G Sam Burns G Russell Henley G Si Woo Kim,,Joaquin Niemann,G,9.81%,19
22,5190082744,dramsfan61 (1/2),0,476,G Xander Schauffele G Jon Rahm G Collin Morikawa G Sam Burns G Russell Henley G Ryan Fox,,Patrick Cantlay,G,9.08%,59
22,5190755502,texasfrog90 (19/20),0,476,G Scottie Scheffler G Cameron Young G Collin Morikawa G Ryan Fox G Jesper Svensson G Victor Perez,,Hideki Matsuyama,G,8.94%,69
27,5190067388,bigspook1031 (2/4),0,475.5,G Rory McIlroy G Ludvig Aberg G Sam Burns G Russell Henley G Patrick Reed G Ryan Fox,,Shane Lowry,G,8.69%,66
28,5190184933,jaygon122 (5/9),0,474.5,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Sam Burns G Patrick Cantlay G Victor Perez,,Aaron Rai,G,7.23%,19
29,5188859094,chacchi (15/20),0,472.5,G Xander Schauffele G Ludvig Aberg G Cameron Young G Robert MacIntyre G Ryan Gerard G Ryan Fox,,J.J. Spaun,G,5.99%,60
29,5190656014,nlang003 (7/20),0,472.5,G Rory McIlroy G Ludvig Aberg G Cameron Young G Hideki Matsuyama G Kurt Kitayama G Ryan Fox,,Jordan Spieth,G,5.91%,18
31,5189046430,Brue1979 (1/20),0,472,G Ludvig Aberg G Cameron Young G Tyrrell Hatton G Collin Morikawa G Russell Henley G Ryan Fox,,Maverick McNealy,G,5.85%,23
