Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5169321065,ross.addler,0,452.5,G Scottie Scheffler G Wyndham Clark G Sam Burns G Gary Woodland G Alex Fitzpatrick G Keith Mitchell,,Matt Fitzpatrick,G,41.28%,51
2,5169598668,Dean8825,0,433.5,G Scottie Scheffler G Matt Fitzpatrick G Wyndham Clark G Tom Kim G Keith Mitchell G Michael Brennan,,Tommy Fleetwood,G,30.10%,62
3,5167410448,ClubChamp0809,0,427.5,G Tommy Fleetwood G Matt Fitzpatrick G Tyrrell Hatton G Wyndham Clark G Joaquin Niemann G Dustin Johnson,,Patrick Reed,G,30.07%,22.5
4,5169027471,Bombshack,0,426,G Scottie Scheffler G Russell Henley G Wyndham Clark G Joaquin Niemann G Tom Kim G Benjamin James,,Si Woo Kim,G,28.68%,25
5,5167747222,NolanWoller55,0,422.5,G Matt Fitzpatrick G Tyrrell Hatton G Justin Rose G Justin Thomas G Wyndham Clark G Sam Burns,,Xander Schauffele,G,22.77%,60.5
6,5169366523,sweetdaddy69,0,418.5,G Scottie Scheffler G Wyndham Clark G Sam Burns G Harris English G Gary Woodland G Keith Mitchell,,Chris Gotterup,G,22.41%,45
6,5169549448,frankepa,0,418.5,G Matt Fitzpatrick G Tyrrell Hatton G Collin Morikawa G Justin Rose G Wyndham Clark G Sam Burns,,Russell Henley,G,20.69%,39.5
8,5169498414,Cincybengal12,0,416,G Scottie Scheffler G Wyndham Clark G Sam Burns G Alex Fitzpatrick G Bud Cauley G J.T. Poston,,Ludvig Aberg,G,19.23%,51.5
9,5169232729,TimmysBets,0,411,G Tommy Fleetwood G Ludvig Aberg G Russell Henley G Wyndham Clark G Sam Burns G Joaquin Niemann,,Sam Burns,G,18.83%,77
10,5169229782,botmager,0,408.5,G Rory McIlroy G Matt Fitzpatrick G Collin Morikawa G Wyndham Clark G Sahith Theegala G Keith Mitchell,,Scottie Scheffler,G,18.83%,75
11,5169389084,Polomchakm,0,407.5,G Scottie Scheffler G Collin Morikawa G Wyndham Clark G Jacob Bridgeman G Tom Kim G Ryo Hisatsune,,Cameron Young,G,17.72%,43
12,5166279897,earlyfloyd,0,407,G Rory McIlroy G Tommy Fleetwood G Chris Gotterup G Wyndham Clark G Tom Kim G Emiliano Grillo,,Rory McIlroy,G,16.78%,60.5
13,5167717307,slberg01,0,406,G Matt Fitzpatrick G Tyrrell Hatton G Justin Thomas G Chris Gotterup G Wyndham Clark G Sam Burns,,Patrick Cantlay,G,15.93%,20.5
13,5168046231,sigmaderby1,0,406,G Matt Fitzpatrick G Tyrrell Hatton G Justin Thomas G Chris Gotterup G Wyndham Clark G Sam Burns,,Tyrrell Hatton,G,14.71%,69.5
15,5164759171,longhorndavey,0,405.5,G Xander Schauffele G Tommy Fleetwood G Wyndham Clark G Sam Burns G Joaquin Niemann G Si Woo Kim,,Wyndham Clark,G,13.87%,102
16,5168227831,shon28,0,404.5,G Scottie Scheffler G Wyndham Clark G Sam Burns G Si Woo Kim G Keith Mitchell G Ryo Hisatsune,,Jon Rahm,G,12.71%,20
17,5167122848,worm1977,0,401,G Scottie Scheffler G Wyndham Clark G Ben Griffin G Robert MacIntyre G Gary Woodland G Alex Fitzpatrick,,Hideki Matsuyama,G,11.95%,33
17,5169333653,Djk21,0,401,G Rory McIlroy G Chris Gotterup G Wyndham Clark G Sam Burns G Joaquin Niemann G Andrew Putnam,,Collin Morikawa,G,11.02%,57.5
19,5167689503,sideliner,0,399,G Rory McIlroy G Justin Thomas G Wyndham Clark G Sam Burns G Maverick McNealy G Alex Fitzpatrick,,Shane Lowry,G,10.87%,19
20,5167368023,gravytrain66,0,398.5,G Cameron Young G Tommy Fleetwood G Russell Henley G Wyndham Clark G Sam Burns G J.T. Poston,,Adam Scott,G,10.27%,16.5
20,5169591425,DLG3991,0,398.5,G Rory McIlroy G Matt Fitzpatrick G Wyndham Clark G Sam Burns G Aaron Rai G Corey Conners,,J.J. Spaun,G,9.77%,19
22,5168195755,TouchDownTodd,0,397.5,G Tommy Fleetwood G Matt Fitzpatrick G Tyrrell Hatton G Justin Thomas G Wyndham Clark G Akshay Bhatia,,Maverick McNealy,G,9.73%,47.5
22,5169404287,brandonmicha3l,0,397.5,G Scottie Scheffler G Justin Rose G Wyndham Clark G Maverick McNealy G Tom Kim G Patrick Rodgers,,Harris English,G,9.65%,16.5
24,5168784907,johnh301,0,397,G Ludvig Aberg G Tyrrell Hatton G Collin Morikawa G Russell Henley G Wyndham Clark G Sam Burns,,Cameron Smith,G,9.32%,21
25,5169131112,badgerzfan,0,396.5,G Xander Schauffele G Matt Fitzpatrick G Tyrrell Hatton G Wyndham Clark G Sam Burns G Bud Cauley,,Alex Fitzpatrick,G,8.54%,50.5
26,5168510513,bookert21,0,395,G Scottie Scheffler G Wyndham Clark G Sam Burns G Alex Fitzpatrick G Kurt Kitayama G Jacob Bridgeman,,Justin Rose,G,7.65%,61.5
27,5169357195,broncobaetis,0,394.5,G Scottie Scheffler G Wyndham Clark G Sam Burns G Rickie Fowler G Gary Woodland G Ryan Fox,,Justin Thomas,G,7.32%,61.5
27,5169427303,teamnitwit,0,394.5,G Rory McIlroy G Matt Fitzpatrick G Wyndham Clark G Sam Burns G Gary Woodland G Bud Cauley,,Viktor Hovland,G,7.27%,21
29,5167445153,rauly0326,0,394,G Tommy Fleetwood G Collin Morikawa G Justin Rose G Sam Burns G Joaquin Niemann G Jackson Koivun,,Kurt Kitayama,G,6.86%,42
