Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5169016460,MayberryQB (4/6),0,451,G Tommy Fleetwood G Tyrrell Hatton G Justin Rose G Wyndham Clark G Sam Burns G Joaquin Niemann,,Matt Fitzpatrick,G,34.79%,51
2,5167131857,worm1977 (15/20),0,439.5,G Xander Schauffele G Tommy Fleetwood G Collin Morikawa G Wyndham Clark G Sam Burns G Keith Mitchell,,Si Woo Kim,G,28.16%,25
2,5169523564,RoccoDoodleDoo (5/20),0,439.5,G Xander Schauffele G Tommy Fleetwood G Collin Morikawa G Wyndham Clark G Sam Burns G Keith Mitchell,,Tommy Fleetwood,G,25.83%,62
2,5169523594,RoccoDoodleDoo (15/20),0,439.5,G Xander Schauffele G Tommy Fleetwood G Collin Morikawa G Wyndham Clark G Sam Burns G Keith Mitchell,,Patrick Reed,G,22.46%,22.5
5,5167385317,FreezeOutLV (1/3),0,433.5,G Scottie Scheffler G Wyndham Clark G Joaquin Niemann G Robert MacIntyre G Gary Woodland G Jackson Koivun,,Xander Schauffele,G,22.03%,60.5
5,5167685075,Dean8825,0,433.5,G Scottie Scheffler G Matt Fitzpatrick G Wyndham Clark G Tom Kim G Keith Mitchell G Michael Brennan,,Scottie Scheffler,G,20.69%,75
7,5169334578,JSTEPHE7 (7/20),0,429.5,G Rory McIlroy G Tyrrell Hatton G Wyndham Clark G Sam Burns G Robert MacIntyre G Gary Woodland,,Sam Burns,G,19.47%,77
8,5169020358,Bombshack (3/3),0,426,G Scottie Scheffler G Russell Henley G Wyndham Clark G Joaquin Niemann G Tom Kim G Benjamin James,,Russell Henley,G,19.28%,39.5
9,5167675035,SJU22TC,0,424.5,G Matt Fitzpatrick G Tyrrell Hatton G Justin Rose G Justin Thomas G Wyndham Clark G Joaquin Niemann,,Rory McIlroy,G,19.06%,60.5
10,5167531812,TecmoBowlRules (19/20),0,423.5,G Scottie Scheffler G Tyrrell Hatton G Sam Burns G Tom Kim G Brian Harman G J.T. Poston,,Ludvig Aberg,G,18.48%,51.5
11,5167266328,Andy41golf (2/2),0,422.5,G Matt Fitzpatrick G Tyrrell Hatton G Justin Rose G Justin Thomas G Wyndham Clark G Sam Burns,,Chris Gotterup,G,17.59%,45
11,5167552056,PapaDBets (4/20),0,422.5,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Wyndham Clark G Sam Burns G Keith Mitchell,,Patrick Cantlay,G,17.08%,20.5
11,5168349058,kfish191 (18/20),0,422.5,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Wyndham Clark G Sam Burns G Keith Mitchell,,Cameron Young,G,16.64%,43
11,5169411890,noahopz (5/10),0,422.5,G Matt Fitzpatrick G Tyrrell Hatton G Justin Rose G Justin Thomas G Wyndham Clark G Sam Burns,,Jon Rahm,G,14.71%,20
15,5166747972,hiteofbob (3/20),0,421.5,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Wyndham Clark G Sam Burns G Tom Kim,,Tyrrell Hatton,G,12.90%,69.5
15,5169334579,JSTEPHE7 (8/20),0,421.5,G Rory McIlroy G Justin Rose G Wyndham Clark G Sam Burns G Robert MacIntyre G Gary Woodland,,Wyndham Clark,G,12.68%,102
17,5166741694,DKjamy (13/20),0,421,G Scottie Scheffler G Justin Thomas G Wyndham Clark G Robert MacIntyre G Ben Kohles G J.T. Poston,,Collin Morikawa,G,12.22%,57.5
18,5167726775,Philtastic (11/12),0,420,G Cameron Young G Ludvig Aberg G Wyndham Clark G Sam Burns G Joaquin Niemann G Gary Woodland,,Adam Scott,G,11.32%,16.5
19,5168349053,kfish191 (13/20),0,419,G Rory McIlroy G Ludvig Aberg G Wyndham Clark G Sam Burns G Maverick McNealy G Keith Mitchell,,J.J. Spaun,G,10.89%,19
19,5168899696,Doyzee27 (2/3),0,419,G Scottie Scheffler G Wyndham Clark G Sam Burns G Alex Smalley G Gary Woodland G Keith Mitchell,,Hideki Matsuyama,G,10.86%,33
21,5168357979,Wmgarvin09 (16/20),0,418.5,G Matt Fitzpatrick G Tyrrell Hatton G Collin Morikawa G Justin Rose G Wyndham Clark G Sam Burns,,Shane Lowry,G,9.88%,19
21,5168433075,Killerbeees (12/12),0,418.5,G Matt Fitzpatrick G Tyrrell Hatton G Collin Morikawa G Justin Rose G Wyndham Clark G Sam Burns,,Maverick McNealy,G,9.66%,47.5
21,5169328211,Earlmega (3/4),0,418.5,G Matt Fitzpatrick G Tyrrell Hatton G Collin Morikawa G Justin Rose G Wyndham Clark G Sam Burns,,Harris English,G,8.98%,16.5
24,5167822445,fisherladyh (17/20),0,417,G Scottie Scheffler G Collin Morikawa G Wyndham Clark G Sahith Theegala G Keith Mitchell G Ryo Hisatsune,,Kurt Kitayama,G,8.96%,42
25,5169436053,scottyboy3461 (11/20),0,416.5,G Tommy Fleetwood G Ludvig Aberg G Chris Gotterup G Wyndham Clark G Sam Burns G Joaquin Niemann,,Viktor Hovland,G,8.80%,21
26,5166687017,spielvogela0523 (1/20),0,414.5,G Rory McIlroy G Russell Henley G Wyndham Clark G Sam Burns G Joaquin Niemann G Aaron Rai,,Justin Thomas,G,8.50%,61.5
26,5169537340,Jessegizback84 (2/4),0,414.5,G Tommy Fleetwood G Matt Fitzpatrick G Tyrrell Hatton G Wyndham Clark G Sam Burns G Robert MacIntyre,,Alex Fitzpatrick,G,7.91%,50.5
28,5166975109,jrevelle3 (13/20),0,414,G Scottie Scheffler G Wyndham Clark G Sam Burns G Adam Scott G Dustin Johnson G Tom Kim,,Robert MacIntyre,G,7.65%,53
29,5167542558,jeffondo247 (12/20),0,412.5,G Scottie Scheffler G Wyndham Clark G Sam Burns G Rickie Fowler G Sahith Theegala G Keith Mitchell,,Justin Rose,G,7.58%,61.5
30,5169421756,PopeyeD22 (3/4),0,412,G Tommy Fleetwood G Tyrrell Hatton G Patrick Reed G Wyndham Clark G Sam Burns G Joaquin Niemann,,Cameron Smith,G,7.49%,21
31,5167764272,noser777,0,411,G Tommy Fleetwood G Justin Rose G Justin Thomas G Chris Gotterup G Wyndham Clark G Joaquin Niemann,,Min Woo Lee,G,7.11%,20
31,5168349046,kfish191 (6/20),0,411,G Xander Schauffele G Ludvig Aberg G Russell Henley G Wyndham Clark G Sam Burns G Keith Mitchell,,Brooks Koepka,G,6.37%,15
33,5169216408,A_M.5-4CAVS (1/20),0,410.5,G Matt Fitzpatrick G Collin Morikawa G Justin Rose G Justin Thomas G Wyndham Clark G Sam Burns,,Jordan Spieth,G,6.22%,37.5
