Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5120845703,truckster1,0,848,G Matt Fitzpatrick G Sahith Theegala G Matthew McCarty G Jacob Skov Olesen G Billy Horschel G Doug Ghim,,Matt Fitzpatrick,G,30.78%,168.5
2,5118910268,LucaButt,0,838,G Matt Fitzpatrick G Wyndham Clark G Kristoffer Reitan G Keith Mitchell G Billy Horschel G Trace Crowe,,Brooks Koepka,G,23.30%,51.5
3,5121251730,tarheel69,0,832,G Matt Fitzpatrick G Matthew McCarty G Sam Stevens G Matti Schmid G John Parry G Tom Hoge,,Sahith Theegala,G,21.32%,120
4,5119434343,Redirkulous420,0,829,G Matt Fitzpatrick G Sahith Theegala G Alex Smalley G John Parry G Casey Jarvis G Trace Crowe,,Ryan Gerard,G,19.76%,89.5
4,5121071864,epi10mg,0,829,G Matt Fitzpatrick G Sahith Theegala G Alex Smalley G John Parry G Casey Jarvis G Trace Crowe,,Austin Smotherman,G,18.17%,45
6,5120810322,nwspring52,0,826.5,G Matt Fitzpatrick G Alex Smalley G Sam Stevens G Keith Mitchell G John Parry G Trace Crowe,,Shane Lowry,G,18.08%,51.5
7,5120571208,mefahrer,0,819,G Ben Griffin G Wyndham Clark G Kristoffer Reitan G Hayden Springer G Jacob Skov Olesen G Adam Hadwin,,Sam Stevens,G,16.78%,128
8,5120448578,kazy900,0,818,G Matt Fitzpatrick G Hayden Springer G Sam Stevens G John Parry G Christiaan Bezuidenhout G Casey Jarvis,,Ben Griffin,G,16.44%,133
9,5121242712,Biohazard,0,815.5,G Matt Fitzpatrick G Sahith Theegala G Matti Schmid G John Parry G Jacob Skov Olesen G Casey Jarvis,,Billy Horschel,G,14.38%,146.5
10,5120392770,ThrasherDad,0,807.5,G Matt Fitzpatrick G Kristoffer Reitan G Alex Smalley G Sam Stevens G Vince Whaley G Trace Crowe,,Michael Brennan,G,14.05%,58
11,5121231366,dexterwoods,0,805,G Matt Fitzpatrick G Ben Griffin G Kevin Roy G Matti Schmid G Jacob Skov Olesen G Adam Svensson,,Keith Mitchell,G,14.00%,106.5
12,5121265819,Rhino1979,0,804,G Michael Thorbjornsen G Sahith Theegala G Kristoffer Reitan G Keith Mitchell G Jacob Skov Olesen G Billy Horschel,,Aaron Rai,G,13.79%,120
13,5119405005,BigFish2,0,803.5,G Matt Fitzpatrick G Aaron Rai G Hayden Springer G David Lipsky G Tom Hoge G Chad Ramey,,Sudarshan Yellamaraju,G,13.50%,89.5
