Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5118925944,chippingferbogey (4/8),0,848.5,G Matt Fitzpatrick G Alex Smalley G Sam Stevens G Matti Schmid G Jacob Skov Olesen G Casey Jarvis,,Matt Fitzpatrick,G,29.97%,168.5
2,5118928217,mknob87 (15/20),0,844,G Michael Thorbjornsen G Matthew McCarty G Kristoffer Reitan G Alex Smalley G Seamus Power G Billy Horschel,,Brooks Koepka,G,20.96%,51.5
3,5121012994,Satchl (6/20),0,843.5,G Matt Fitzpatrick G Aaron Rai G Alex Smalley G Jacob Skov Olesen G Billy Horschel G Chad Ramey,,Ryan Gerard,G,19.66%,89.5
4,5118959809,SLMCNM (2/20),0,838,G Matt Fitzpatrick G Hayden Springer G Keith Mitchell G Matti Schmid G John Parry G Jacob Skov Olesen,,Sam Stevens,G,16.89%,128
5,5121266322,DFeerrar (8/9),0,836.5,G Matt Fitzpatrick G Wyndham Clark G Kristoffer Reitan G Matti Schmid G Casey Jarvis G Trace Crowe,,Ben Griffin,G,15.62%,133
6,5120805278,Goat112377,0,836,G Matt Fitzpatrick G Kristoffer Reitan G Sam Stevens G Keith Mitchell G Matti Schmid G Trace Crowe,,Sahith Theegala,G,14.96%,120
6,5121418332,starplay (5/10),0,836,G Matt Fitzpatrick G Kristoffer Reitan G Sam Stevens G Keith Mitchell G Matti Schmid G Ben Martin,,Shane Lowry,G,14.02%,51.5
6,5121465791,lopes1479 (2/3),0,836,G Matt Fitzpatrick G Michael Thorbjornsen G Austin Eckroat G Matti Schmid G Doug Ghim G Nick Hardy,,Austin Smotherman,G,13.44%,45
9,5121463347,hizzy4shizzy (9/10),0,835.5,G Matt Fitzpatrick G Mac Meissner G Kristoffer Reitan G Matti Schmid G Rico Hoey G Trace Crowe,,Michael Brennan,G,13.30%,58
10,5121218994,bshealy1313,0,834,G Matt Fitzpatrick G Aaron Rai G Sam Stevens G Jacob Skov Olesen G Christiaan Bezuidenhout G Billy Horschel,,Aaron Rai,G,12.91%,120
11,5119983441,HustleCarter (1/4),0,832.5,G Alex Fitzpatrick G Sahith Theegala G Alex Smalley G Seamus Power G Billy Horschel G Blades Brown,,Keith Mitchell,G,12.47%,106.5
11,5121201669,kayos1717 (1/2),0,832.5,G Matt Fitzpatrick G Alex Smalley G Sam Stevens G David Lipsky G John Parry G Jacob Skov Olesen,,Wyndham Clark,G,12.34%,118
13,5119464591,peeka,0,831.5,G Matt Fitzpatrick G Matthew McCarty G Alex Smalley G John Parry G Jacob Skov Olesen G Chad Ramey,,Sudarshan Yellamaraju,G,11.76%,89.5
14,5120589677,Kdarby1979 (1/4),0,831,G Alex Fitzpatrick G Taylor Moore G Austin Eckroat G Matti Schmid G Hank Lebioda G Lanto Griffin,,Matthew McCarty,G,11.59%,126.5
14,5121371605,ckriz (2/20),0,831,G Matt Fitzpatrick G Ryan Gerard G Kris Ventura G John Parry G Billy Horschel G Trace Crowe,,Tony Finau,G,10.94%,48.5
16,5119208442,jtrusty666,0,829,G Matt Fitzpatrick G Sahith Theegala G Alex Smalley G John Parry G Casey Jarvis G Trace Crowe,,John Parry,G,10.74%,128
16,5119236006,macanootle (1/2),0,829,G Matt Fitzpatrick G Ben Griffin G Max McGreevy G Jacob Skov Olesen G Christiaan Bezuidenhout G Billy Horschel,,Billy Horschel,G,10.63%,146.5
16,5119283388,LJW1119,0,829,G Matt Fitzpatrick G Alex Smalley G Sam Stevens G Matti Schmid G John Parry G Casey Jarvis,,Alex Smalley,G,10.55%,153
16,5119652062,slindle,0,829,G Matt Fitzpatrick G Sahith Theegala G Hayden Springer G John Parry G Casey Jarvis G Trace Crowe,,Andrew Putnam,G,9.58%,45
16,5121012995,Satchl (7/20),0,829,G Matt Fitzpatrick G Michael Thorbjornsen G Sam Stevens G Jacob Skov Olesen G William Mouw G Billy Horschel,,Casey Jarvis,G,9.54%,117
16,5121071781,epi10mg,0,829,G Matt Fitzpatrick G Sahith Theegala G Alex Smalley G John Parry G Casey Jarvis G Trace Crowe,,Tom Kim,G,9.37%,39
16,5121200251,Jellsey,0,829,G Matt Fitzpatrick G Sahith Theegala G Alex Smalley G John Parry G Casey Jarvis G Trace Crowe,,Blades Brown,G,9.28%,110
